Profile,min_violations-committee,min_violations,max_violations-committee,max_violations,candidate_pairs,candidate_pairs-normalized-no_diagonal,binary_pairs-no_diagonal,rank_matrix,rank_matrix-normalized
"[(1, 2, 0), (0, 2, 1), (2, 0, 1), (0, 2, 1), (1, 0, 2), (0, 2, 1)]","(1, 0, 1)",0,"(0, 1, 1)",6,"[0, 4, 4, 2, 0, 2, 2, 4, 0]","[0.22222, 0.22222, 0.11111, 0.11111, 0.11111, 0.22222]","[1, 1, 0, 1, 0, 0]","[3, 2, 1, 2, 0, 4, 1, 4, 1]","[0.16667, 0.11111, 0.05556, 0.11111, 0.0, 0.22222, 0.05556, 0.22222, 0.05556]"
"[(2, 0, 1), (1, 0, 2), (2, 0, 1), (0, 2, 1), (1, 0, 2), (0, 1, 2), (0, 1, 2), (1, 0, 2), (0, 1, 2), (0, 2, 1)]","(1, 1, 0)",0,"(0, 1, 1)",7,"[0, 7, 8, 3, 0, 6, 2, 4, 0]","[0.23333, 0.26667, 0.1, 0.2, 0.06667, 0.13333]","[1, 1, 0, 1, 0, 0]","[5, 5, 0, 3, 3, 4, 2, 2, 6]","[0.16667, 0.16667, 0.0, 0.1, 0.1, 0.13333, 0.06667, 0.06667, 0.2]"
"[(1, 0, 2), (2, 0, 1), (1, 0, 2), (0, 1, 2), (1, 0, 2), (0, 1, 2), (0, 2, 1), (1, 0, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (2, 0, 1), (2, 0, 1)]","(1, 1, 0)",0,"(0, 1, 1)",6,"[0, 9, 10, 4, 0, 8, 3, 5, 0]","[0.23077, 0.25641, 0.10256, 0.20513, 0.07692, 0.12821]","[1, 1, 0, 1, 0, 0]","[6, 7, 0, 4, 4, 5, 3, 2, 8]","[0.15385, 0.17949, 0.0, 0.10256, 0.10256, 0.12821, 0.07692, 0.05128, 0.20513]"
"[(0, 1, 2), (1, 2, 0), (2, 1, 0), (2, 1, 0), (2, 1, 0), (2, 1, 0), (0, 1, 2), (2, 1, 0), (2, 1, 0), (0, 1, 2)]","(0, 1, 1)",0,"(1, 1, 0)",7,"[0, 3, 3, 7, 0, 4, 7, 6, 0]","[0.1, 0.1, 0.23333, 0.13333, 0.23333, 0.2]","[1, 1, 0, 1, 0, 0]","[3, 0, 7, 1, 9, 0, 6, 1, 3]","[0.1, 0.0, 0.23333, 0.03333, 0.3, 0.0, 0.2, 0.03333, 0.1]"
"[(2, 0, 1), (2, 0, 1), (2, 0, 1), (0, 1, 2), (2, 0, 1), (2, 0, 1), (2, 0, 1), (0, 1, 2)]","(1, 0, 1)",0,"(1, 1, 0)",7,"[0, 8, 2, 0, 0, 2, 6, 6, 0]","[0.33333, 0.08333, 0.0, 0.08333, 0.25, 0.25]","[1, 1, 0, 1, 0, 0]","[2, 6, 0, 0, 2, 6, 6, 0, 2]","[0.08333, 0.25, 0.0, 0.0, 0.08333, 0.25, 0.25, 0.0, 0.08333]"
"[(2, 0, 1), (0, 1, 2), (1, 0, 2), (0, 2, 1), (2, 1, 0), (0, 2, 1), (2, 0, 1), (1, 2, 0), (0, 1, 2), (1, 0, 2), (1, 0, 2), (0, 2, 1), (0, 1, 2), (2, 0, 1)]","(1, 0, 1)",0,"(0, 1, 1)",2,"[0, 9, 9, 5, 0, 7, 5, 7, 0]","[0.21429, 0.21429, 0.11905, 0.16667, 0.11905, 0.16667]","[1, 1, 0, 1, 0, 0]","[6, 6, 2, 4, 4, 6, 4, 4, 6]","[0.14286, 0.14286, 0.04762, 0.09524, 0.09524, 0.14286, 0.09524, 0.09524, 0.14286]"
"[(0, 1, 2), (0, 1, 2), (2, 1, 0), (2, 1, 0), (1, 2, 0), (0, 1, 2), (1, 2, 0), (0, 1, 2), (0, 1, 2), (0, 1, 2)]","(1, 1, 0)",0,"(0, 1, 1)",7,"[0, 6, 6, 4, 0, 8, 4, 2, 0]","[0.2, 0.2, 0.13333, 0.26667, 0.13333, 0.06667]","[1, 1, 0, 1, 0, 0]","[6, 0, 4, 2, 8, 0, 2, 2, 6]","[0.2, 0.0, 0.13333, 0.06667, 0.26667, 0.0, 0.06667, 0.06667, 0.2]"
"[(0, 1, 2), (2, 1, 0), (0, 1, 2), (2, 1, 0), (0, 1, 2), (0, 1, 2), (2, 1, 0), (1, 2, 0), (0, 1, 2), (0, 1, 2), (0, 2, 1)]","(1, 1, 0)",0,"(0, 1, 1)",7,"[0, 7, 7, 4, 0, 7, 4, 4, 0]","[0.21212, 0.21212, 0.12121, 0.21212, 0.12121, 0.12121]","[1, 1, 0, 1, 0, 0]","[7, 0, 4, 1, 9, 1, 3, 2, 6]","[0.21212, 0.0, 0.12121, 0.0303, 0.27273, 0.0303, 0.09091, 0.06061, 0.18182]"
"[(0, 2, 1), (0, 2, 1), (1, 0, 2), (0, 1, 2), (1, 0, 2)]","(1, 1, 0)",0,"(0, 1, 1)",8,"[0, 3, 5, 2, 0, 3, 0, 2, 0]","[0.2, 0.33333, 0.13333, 0.2, 0.0, 0.13333]","[1, 1, 0, 1, 0, 0]","[3, 2, 0, 2, 1, 2, 0, 2, 3]","[0.2, 0.13333, 0.0, 0.13333, 0.06667, 0.13333, 0.0, 0.13333, 0.2]"
"[(0, 2, 1), (1, 2, 0), (0, 2, 1), (0, 2, 1), (1, 2, 0), (1, 2, 0), (0, 2, 1), (0, 2, 1), (1, 2, 0), (1, 2, 0), (0, 2, 1), (0, 2, 1), (2, 1, 0), (2, 1, 0), (0, 2, 1), (1, 2, 0), (0, 2, 1)]","(1, 0, 1)",0,"(0, 1, 1)",7,"[0, 9, 9, 8, 0, 6, 8, 11, 0]","[0.17647, 0.17647, 0.15686, 0.11765, 0.15686, 0.21569]","[1, 1, 0, 1, 0, 0]","[9, 0, 8, 6, 2, 9, 2, 15, 0]","[0.17647, 0.0, 0.15686, 0.11765, 0.03922, 0.17647, 0.03922, 0.29412, 0.0]"
