Method,1,2,3,4,5
Neural Network,0.0,5.090909090909091e-06,0.0013176363636363,0.0019950909090909,0.0024976363636363
Random Choice,0.0083592727272727,0.0131167272727272,0.0157812727272727,0.0176934545454545,0.0184187272727272
Borda ranking,0.000860909090909,0.0005698181818181,0.001602909090909,0.0031978181818181,0.002838
Plurality ranking,0.0065767272727272,0.0113572727272727,0.0132892727272727,0.0136401818181818,0.0125367272727272
Approval Voting (AV),0.0065550909090909,0.0078105454545454,0.0013167272727272,0.0019947272727272,0.0024981818181818
Proportional Approval Voting (PAV),0.0065550909090909,0.0083698181818181,0.0014050909090909,0.0031412727272727,0.0024981818181818
Approval Chamberlin-Courant (CC),0.0065550909090909,0.0085876363636363,0.0151930909090909,0.0176612727272727,0.0184392727272727
Lexicographic Chamberlin-Courant (lex-CC),0.0065550909090909,0.0085872727272727,0.0023434545454545,0.0038645454545454,0.0024981818181818
Sequential Approval Chamberlin-Courant (seq-CC),0.0065767272727272,0.0085930909090909,0.0143712727272727,0.0173792727272727,0.0183456363636363
Monroe's Approval Rule (Monroe),0.0065550909090909,0.0085801818181818,0.0115867272727272,0.0173412727272727,0.0184392727272727
Greedy Monroe,0.0065767272727272,0.008586909090909,0.0036612727272727,0.0063694545454545,0.0075576363636363
Minimax Approval Voting (MAV),0.0084181818181818,0.0131578181818181,0.0151930909090909,0.013888,0.0184392727272727
