Method,1,2,3,4,5
Neural Network,0.0,5.454545454545454e-07,0.0,5.272727272727273e-06,0.0
Random Choice,0.0115036363636363,0.0143112727272727,0.0284581818181818,0.0214354545454545,0.0160392727272727
Borda ranking,0.0004003636363636,0.0004032727272727,0.0,0.0003850909090909,0.0003883636363636
Plurality ranking,0.0013703636363636,0.0016990909090909,0.0,0.0049967272727272,0.0049936363636363
Approval Voting (AV),0.0013454545454545,0.0013430909090909,0.0,0.00134,0.0012967272727272
Proportional Approval Voting (PAV),0.0013454545454545,0.0013430909090909,0.0,0.00134,0.0012967272727272
Approval Chamberlin-Courant (CC),0.0013454545454545,0.0051732727272727,0.0282105454545454,0.021442909090909,0.0160616363636363
Lexicographic Chamberlin-Courant (lex-CC),0.0013454545454545,0.0013430909090909,0.0,0.00134,0.0012967272727272
Sequential Approval Chamberlin-Courant (seq-CC),0.0013716363636363,0.0038632727272727,0.0281767272727272,0.02153,0.01607
Monroe's Approval Rule (Monroe),0.0013454545454545,0.0050756363636363,0.0,0.0205512727272727,0.0160616363636363
Greedy Monroe,0.0013716363636363,0.0027961818181818,0.0,0.0034743636363636,0.003610909090909
Minimax Approval Voting (MAV),0.011536,0.0051732727272727,0.0,0.004974,0.0160616363636363
