Method,1,2,3,4,5
Neural Network,7.981818181818181e-05,0.0006876363636363,0.0019781818181818,0.0019858181818181,0.0014910909090909
Random Choice,0.0122216363636363,0.0172023636363636,0.018338909090909,0.0180910909090909,0.0159585454545454
Borda ranking,0.0016061818181818,0.0016181818181818,0.0021085454545454,0.0022661818181818,0.0021681818181818
Plurality ranking,0.0009887272727272,0.0066592727272727,0.0088952727272727,0.0101685454545454,0.010056909090909
Approval Voting (AV),0.0009843636363636,0.0009141818181818,0.0024465454545454,0.0033787272727272,0.0032187272727272
Proportional Approval Voting (PAV),0.0009843636363636,0.00227,0.0033563636363636,0.0036476363636363,0.0032187272727272
Approval Chamberlin-Courant (CC),0.0009843636363636,0.0115874545454545,0.0176194545454545,0.017984909090909,0.0161667272727272
Lexicographic Chamberlin-Courant (lex-CC),0.0009843636363636,0.0081032727272727,0.0096018181818181,0.009928,0.0032187272727272
Sequential Approval Chamberlin-Courant (seq-CC),0.0009887272727272,0.0111056363636363,0.015428,0.0168143636363636,0.0154594545454545
Monroe's Approval Rule (Monroe),0.0009843636363636,0.0038572727272727,0.0074647272727272,0.0111881818181818,0.011806909090909
Greedy Monroe,0.0009887272727272,0.0036121818181818,0.0053912727272727,0.0055174545454545,0.004466
Minimax Approval Voting (MAV),0.0104967272727272,0.013054909090909,0.0145416363636363,0.0145343636363636,0.014854
