,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Random Choice,0.32010479999999997,0.0,0.321536,0.320704,0.320448,0.320944,0.320944,0.320944,0.320944,0.320704,0.320944,0.320704,0.320272,0.320704,0.320944,0.320672,0.320512,0.3204,0.32008,0.320208,0.320272,0.320048,0.320336,0.320384,0.319872,0.320288,0.32,0.320528,0.319792,0.32024,0.32056,0.3204,0.320368,0.320208,0.320176,0.32016,0.320288,0.320416,0.320352,0.320736,0.320544,0.320368,0.320736,0.320272,0.320016,0.320336,0.320336,0.320448,0.320448,0.320048,0.32016,0.3204,0.320304,0.320288,0.320176,0.320304,0.320272,0.320848,0.320288,0.320304,0.320384,0.320528,0.320608,0.319824,0.319968
Borda ranking,0.07812720000000001,0.321536,0.0,0.103104,0.090928,0.103104,0.103104,0.103104,0.103104,0.103104,0.103104,0.103104,0.304912,0.103104,0.103104,0.183088,0.25448,0.138416,0.188768,0.091024,0.074784,0.079328,0.092832,0.071856,0.076,0.072304,0.070192,0.127072,0.078784,0.079792,0.053776,0.079456,0.090128,0.067088,0.070592,0.080576,0.0744,0.079488,0.081392,0.07376,0.085456,0.076112,0.077808,0.067312,0.068384,0.086256,0.086256,0.061552,0.061552,0.076144,0.0756,0.039504,0.07952,0.079888,0.080192,0.067248,0.077088,0.065696,0.050256,0.062128,0.075872,0.095504,0.053648,0.075024,0.074848
Plurality ranking,0.07594319999999997,0.320704,0.103104,0.0,0.059248,0.013344,0.013344,0.013344,0.013344,0.0,0.013344,0.0,0.307088,0.0,0.013344,0.16416,0.294688,0.203456,0.259632,0.055392,0.057568,0.064976,0.051296,0.074416,0.066,0.064272,0.064816,0.110096,0.06792,0.066944,0.0688,0.075104,0.084208,0.070512,0.069744,0.074992,0.071152,0.075136,0.076528,0.06888,0.080016,0.072192,0.073584,0.062864,0.062672,0.080224,0.080224,0.064304,0.064304,0.067408,0.04352,0.072208,0.06328,0.06456,0.065744,0.062912,0.034624,0.067664,0.06944,0.064432,0.106704,0.105168,0.079424,0.057232,0.06208
STV,0.04964,0.320448,0.090928,0.059248,0.0,0.057552,0.057552,0.057552,0.057552,0.059248,0.057552,0.059248,0.300016,0.059248,0.057552,0.169408,0.283248,0.192832,0.24408,0.019616,0.043408,0.033264,0.031664,0.061376,0.046672,0.047952,0.048016,0.105888,0.047344,0.036592,0.04784,0.060032,0.068272,0.051664,0.052368,0.060864,0.053264,0.060064,0.06224,0.051296,0.065584,0.05496,0.054336,0.0496,0.050064,0.065504,0.065504,0.046096,0.046096,0.044208,0.047632,0.054848,0.030976,0.032,0.034592,0.049568,0.04568,0.04968,0.049744,0.04928,0.093504,0.097872,0.07,0.042128,0.036048
Approval Voting (AV),0.0735928,0.320944,0.103104,0.013344,0.057552,0.0,0.0,0.0,0.0,0.013344,0.0,0.013344,0.301808,0.013344,0.0,0.163664,0.29584,0.203744,0.259968,0.057008,0.058928,0.06648,0.053728,0.074864,0.067616,0.065744,0.065712,0.115152,0.069712,0.068608,0.06872,0.078608,0.087264,0.072112,0.071888,0.078352,0.07392,0.07864,0.080144,0.070784,0.083568,0.075056,0.07584,0.064848,0.064736,0.083856,0.083856,0.064816,0.064816,0.068896,0.047744,0.072272,0.064864,0.066176,0.067424,0.06488,0.040896,0.068304,0.06968,0.066192,0.106896,0.108416,0.08,0.056816,0.063056
Proportional Approval Voting (PAV),0.0735928,0.320944,0.103104,0.013344,0.057552,0.0,0.0,0.0,0.0,0.013344,0.0,0.013344,0.301808,0.013344,0.0,0.163664,0.29584,0.203744,0.259968,0.057008,0.058928,0.06648,0.053728,0.074864,0.067616,0.065744,0.065712,0.115152,0.069712,0.068608,0.06872,0.078608,0.087264,0.072112,0.071888,0.078352,0.07392,0.07864,0.080144,0.070784,0.083568,0.075056,0.07584,0.064848,0.064736,0.083856,0.083856,0.064816,0.064816,0.068896,0.047744,0.072272,0.064864,0.066176,0.067424,0.06488,0.040896,0.068304,0.06968,0.066192,0.106896,0.108416,0.08,0.056816,0.063056
Approval Chamberlin-Courant (CC),0.0735928,0.320944,0.103104,0.013344,0.057552,0.0,0.0,0.0,0.0,0.013344,0.0,0.013344,0.301808,0.013344,0.0,0.163664,0.29584,0.203744,0.259968,0.057008,0.058928,0.06648,0.053728,0.074864,0.067616,0.065744,0.065712,0.115152,0.069712,0.068608,0.06872,0.078608,0.087264,0.072112,0.071888,0.078352,0.07392,0.07864,0.080144,0.070784,0.083568,0.075056,0.07584,0.064848,0.064736,0.083856,0.083856,0.064816,0.064816,0.068896,0.047744,0.072272,0.064864,0.066176,0.067424,0.06488,0.040896,0.068304,0.06968,0.066192,0.106896,0.108416,0.08,0.056816,0.063056
Lexicographic Chamberlin-Courant (lex-CC),0.0735928,0.320944,0.103104,0.013344,0.057552,0.0,0.0,0.0,0.0,0.013344,0.0,0.013344,0.301808,0.013344,0.0,0.163664,0.29584,0.203744,0.259968,0.057008,0.058928,0.06648,0.053728,0.074864,0.067616,0.065744,0.065712,0.115152,0.069712,0.068608,0.06872,0.078608,0.087264,0.072112,0.071888,0.078352,0.07392,0.07864,0.080144,0.070784,0.083568,0.075056,0.07584,0.064848,0.064736,0.083856,0.083856,0.064816,0.064816,0.068896,0.047744,0.072272,0.064864,0.066176,0.067424,0.06488,0.040896,0.068304,0.06968,0.066192,0.106896,0.108416,0.08,0.056816,0.063056
Sequential Approval Chamberlin-Courant (seq-CC),0.07594319999999997,0.320704,0.103104,0.0,0.059248,0.013344,0.013344,0.013344,0.013344,0.0,0.013344,0.0,0.307088,0.0,0.013344,0.16416,0.294688,0.203456,0.259632,0.055392,0.057568,0.064976,0.051296,0.074416,0.066,0.064272,0.064816,0.110096,0.06792,0.066944,0.0688,0.075104,0.084208,0.070512,0.069744,0.074992,0.071152,0.075136,0.076528,0.06888,0.080016,0.072192,0.073584,0.062864,0.062672,0.080224,0.080224,0.064304,0.064304,0.067408,0.04352,0.072208,0.06328,0.06456,0.065744,0.062912,0.034624,0.067664,0.06944,0.064432,0.106704,0.105168,0.079424,0.057232,0.06208
Monroe's Approval Rule (Monroe),0.0735928,0.320944,0.103104,0.013344,0.057552,0.0,0.0,0.0,0.0,0.013344,0.0,0.013344,0.301808,0.013344,0.0,0.163664,0.29584,0.203744,0.259968,0.057008,0.058928,0.06648,0.053728,0.074864,0.067616,0.065744,0.065712,0.115152,0.069712,0.068608,0.06872,0.078608,0.087264,0.072112,0.071888,0.078352,0.07392,0.07864,0.080144,0.070784,0.083568,0.075056,0.07584,0.064848,0.064736,0.083856,0.083856,0.064816,0.064816,0.068896,0.047744,0.072272,0.064864,0.066176,0.067424,0.06488,0.040896,0.068304,0.06968,0.066192,0.106896,0.108416,0.08,0.056816,0.063056
