,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.6084254695677287,0.12384111893903811,0.8767526191233732,0.18174222222222222,0.8767526191233732,0.8767526191233732,0.5008002026170527,0.5008002026170527,0.5009331206157296,0.5008002026170527,0.8767526191233732,0.8767526191233732
Borda ranking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.3249340956678277,0.0,0.6370464962703716,0.0,0.6370464962703716,0.6370464962703716,0.0,0.0,0.38904257099424777,0.0,0.6370464962703716,0.6370464962703716
Approval Voting (AV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.43671360677361304,0.06010666666666667,0.6945071716942158,0.0,0.6945071716942158,0.6945071716942158,0.2786932551550687,0.2786932551550687,0.4351273839067921,0.2786932551550687,0.6945071716942158,0.6945071716942158
Lexicographic Chamberlin-Courant (lex-CC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.4357846608257935,0.05965777777777778,0.6933510153578878,0.0,0.6933510153578878,0.6933510153578878,0.27768321015711406,0.27768321015711406,0.4341687840451697,0.27768321015711406,0.6933510153578878,0.6933510153578878
Monroe's Approval Rule (Monroe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
