,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.3202993939393939,0.09971999999999999,0.7498755555555556,0.009577777777777777,0.3913022222222222,0.6712444444444444,0.37750666666666666,0.2743422222222222,0.2728711111111111,0.2992533333333333,0.33796000000000004,0.03964
Borda ranking,0.03506181818181813,0.0,0.1321288888888889,0.0001511111111111111,0.032351111111111115,0.10604444444444444,0.03186666666666667,0.015746666666666666,0.016133333333333333,0.02478222222222222,0.026475555555555554,0.0
Plurality ranking,0.13803353535353532,0.002435555555555555,0.5165733333333333,0.0,0.11990666666666666,0.4599377777777777,0.0002844444444444444,0.0,0.20464444444444446,0.0,0.18776888888888893,0.02681777777777778
Approval Voting (AV),0.039957979797979735,0.0020533333333333337,0.10960888888888888,0.00023555555555555556,0.08766222222222221,0.07600444444444444,0.08736000000000001,0.0015466666666666667,0.0014755555555555555,0.07359111111111111,0.0,0.0
Proportional Approval Voting (PAV),0.04931757575757571,0.0020444444444444442,0.14764,0.00021333333333333333,0.09571555555555555,0.10686666666666667,0.09175555555555556,0.009115555555555556,0.007524444444444445,0.08161777777777779,0.0,0.0
Approval Chamberlin-Courant (CC),0.24570303030303028,0.049440000000000005,0.5956222222222222,0.00028000000000000003,0.3525511111111111,0.5297022222222222,0.2791955555555556,0.14477777777777778,0.2340311111111111,0.2588977777777777,0.22788444444444445,0.030351111111111106
Lexicographic Chamberlin-Courant (lex-CC),0.11583434343434337,0.0020488888888888887,0.3527377777777778,0.00019999999999999998,0.18152444444444446,0.30203555555555556,0.15552,0.06668,0.06674222222222222,0.14668888888888887,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2264412121212121,0.03869333333333333,0.5729066666666668,0.0002844444444444445,0.3259688888888889,0.5095466666666667,0.25005777777777777,0.1284,0.22056444444444445,0.2333911111111111,0.1807511111111111,0.03028888888888889
Monroe's Approval Rule (Monroe),0.1306145454545454,0.029644444444444442,0.36768,0.00020444444444444446,0.18554222222222222,0.30502666666666667,0.1678222222222222,0.04952888888888889,0.0982311111111111,0.15012444444444445,0.08295555555555556,0.0
Greedy Monroe,0.07298626262626257,0.005155555555555556,0.23103111111111113,0.00020444444444444446,0.11732,0.18189333333333335,0.11021333333333333,0.022915555555555557,0.029199999999999997,0.09893777777777778,0.005977777777777778,0.0
Minimax Approval Voting (MAV),0.263650101010101,0.07553777777777776,0.7008222222222222,0.0002533333333333334,0.31319555555555556,0.6245955555555557,0.30440888888888895,0.21765777777777778,0.2170577777777778,0.23907111111111112,0.20755111111111113,0.0
NN,0.0001850420875420871,3.975308641975308e-06,5.2104938271604944e-05,1.1646090534979414e-06,0.0005825864197530865,1.2098765432098763e-06,0.0006809670781893004,1.3744855967078185e-05,2.644444444444445e-05,0.00047633744855967087,0.00019692798353909463,0.0
