,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.28470713918536306,0.1029265977556576,0.8205121208505674,0.013109451375947559,0.2692710097394563,0.7103782319616782,0.32639479981970504,0.08636757066597982,0.20045637401582753,0.20827174426414963,0.323257676406123,0.07083295418390072
Borda ranking,0.02322159090909087,0.0,0.10535305555555553,1.0555555555555555e-05,0.022347777777777775,0.0812866666666667,0.021193055555555555,0.0019036111111111105,0.00633138888888889,0.014783055555555556,0.002228333333333333,0.0
Plurality ranking,0.12302199209035031,0.012802777777777774,0.5264054060168981,0.0,0.049280683794676,0.45142290601689833,0.005096944444444446,0.0,0.10579071624269605,0.0,0.16052846157245382,0.04191401712800933
Approval Voting (AV),0.048613232323232294,0.0036780555555555594,0.21182611111111105,1.6111111111111115e-05,0.05231305555555556,0.16628000000000007,0.05846638888888889,0.0001377777777777777,0.0019105555555555557,0.04011749999999999,0.0,0.0
Proportional Approval Voting (PAV),0.05633896464646458,0.0036786111111111134,0.2567883333333334,1.4722222222222224e-05,0.05672555555555557,0.20391777777777775,0.05173305555555557,0.0008136111111111108,0.002374722222222222,0.043682222222222226,0.0,0.0
Approval Chamberlin-Courant (CC),0.22940272430683825,0.053228333333333315,0.6933014138372499,0.0010126711159593748,0.24897669161502753,0.5986561360594718,0.2238685104591206,0.044304450454272296,0.15820347792272066,0.18458267712578713,0.25855891383724994,0.05873669161502759
Lexicographic Chamberlin-Courant (lex-CC),0.08637547979797972,0.0036908333333333368,0.3846311111111111,1.4444444444444446e-05,0.08361666666666666,0.320591388888889,0.07245861111111111,0.007631944444444449,0.01109527777777778,0.06640000000000001,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.21296790753886757,0.036903055555555536,0.6673237881485186,0.0010027092960420987,0.2304337881485185,0.5782010103707408,0.1988971908852627,0.03804837047810959,0.15133174730694057,0.1670791353297072,0.2147790659262963,0.05864712148185184
Monroe's Approval Rule (Monroe),0.16249891414141407,0.041149166666666695,0.5662705555555557,1.5e-05,0.1568163888888889,0.475241111111111,0.15833805555555563,0.011234166666666663,0.08657555555555554,0.13210472222222225,0.15974333333333332,0.0
Greedy Monroe,0.08488601010101006,0.005020555555555556,0.37707944444444447,1.4722222222222224e-05,0.07551611111111112,0.31214083333333353,0.07023,0.002221944444444444,0.02362194444444444,0.05966416666666668,0.008236388888888887,0.0
Minimax Approval Voting (MAV),0.20702010101010096,0.07786277777777777,0.7176125,1.9166666666666674e-05,0.16446499999999997,0.6128319444444442,0.2170091666666667,0.03949333333333331,0.13168333333333332,0.1352411111111111,0.18100277777777782,0.0
NN,5.7432864524878225e-06,9.165219907407397e-08,1.8355356224279817e-06,5.192258230452675e-09,2.062782921810699e-05,6.4702289094650096e-09,2.4225131815843647e-05,5.567611882716039e-08,1.6652199074074096e-07,1.4887032214506157e-05,1.2751093106995897e-06,0.0
