Profile,Winner,Num_Violations,Borda ranking Winner,Plurality ranking Winner,STV Winner,Approval Voting (AV) Winner,Proportional Approval Voting (PAV) Winner,Approval Chamberlin-Courant (CC) Winner,Lexicographic Chamberlin-Courant (lex-CC) Winner,Sequential Approval Chamberlin-Courant (seq-CC) Winner,Monroe's Approval Rule (Monroe) Winner,Greedy Monroe Winner,Minimax Approval Voting (MAV) Winner,candidate_pairs,candidate_pairs-normalized,candidate_pairs-no_diagonal,candidate_pairs-normalized-no_diagonal,candidate_pairs-normalized-upper_half,binary_pairs,binary_pairs-no_diagonal,binary_pairs-upper_half,rank_matrix,rank_matrix-normalized
"[(1, 3, 0, 2, 4), (1, 2, 4, 3, 0), (0, 2, 1, 4, 3), (4, 1, 0, 3, 2), (4, 2, 0, 1, 3), (3, 4, 0, 1, 2), (0, 4, 1, 2, 3), (3, 1, 0, 4, 2), (2, 1, 0, 4, 3), (1, 0, 4, 3, 2), (4, 1, 2, 3, 0), (4, 1, 2, 0, 3), (1, 2, 3, 0, 4), (0, 2, 1, 4, 3), (2, 1, 3, 4, 0), (1, 0, 3, 2, 4), (2, 4, 0, 1, 3), (4, 1, 3, 2, 0), (3, 0, 4, 2, 1), (2, 0, 4, 1, 3)]","(1, 1, 0, 0, 1)",0,"(1, 1, 0, 0, 1)","(0, 1, 1, 0, 1)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(1, 1, 0, 0, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","[0, 8, 10, 11, 11, 12, 0, 12, 17, 10, 10, 8, 0, 12, 10, 9, 3, 8, 0, 7, 9, 10, 10, 13, 0]","[0.0, 0.04, 0.05, 0.055, 0.055, 0.06, 0.0, 0.06, 0.085, 0.05, 0.05, 0.04, 0.0, 0.06, 0.05, 0.045, 0.015, 0.04, 0.0, 0.035, 0.045, 0.05, 0.05, 0.065, 0.0]","[8, 10, 11, 11, 12, 12, 17, 10, 10, 8, 12, 10, 9, 3, 8, 7, 9, 10, 10, 13]","[0.04, 0.05, 0.055, 0.055, 0.06, 0.06, 0.085, 0.05, 0.05, 0.04, 0.06, 0.05, 0.045, 0.015, 0.04, 0.035, 0.045, 0.05, 0.05, 0.065]","[0.07407 0.09259 0.10185 0.10185 0.11111 0.15741 0.09259 0.11111 0.09259
 0.06481]","[0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 1, 1, 1, 1, 0, 1, 0, 0]","[3, 4, 7, 2, 4, 5, 7, 3, 4, 1, 4, 5, 2, 5, 4, 3, 1, 4, 4, 8, 5, 3, 4, 5, 3]","[0.03, 0.04, 0.07, 0.02, 0.04, 0.05, 0.07, 0.03, 0.04, 0.01, 0.04, 0.05, 0.02, 0.05, 0.04, 0.03, 0.01, 0.04, 0.04, 0.08, 0.05, 0.03, 0.04, 0.05, 0.03]"
"[(1, 2, 4, 3, 0), (0, 1, 2, 4, 3), (3, 0, 4, 2, 1), (3, 0, 1, 2, 4), (3, 0, 2, 4, 1), (4, 1, 3, 0, 2), (4, 1, 2, 0, 3), (4, 3, 2, 1, 0), (0, 2, 4, 1, 3), (1, 0, 2, 4, 3), (0, 2, 4, 1, 3), (3, 2, 4, 0, 1), (4, 3, 1, 2, 0), (1, 4, 3, 2, 0), (0, 1, 2, 3, 4), (2, 3, 4, 0, 1), (0, 2, 1, 4, 3), (3, 4, 1, 2, 0), (4, 2, 0, 1, 3), (4, 1, 3, 0, 2)]","(0, 0, 1, 1, 1)",0,"(1, 1, 0, 0, 1)","(1, 0, 0, 1, 1)","(1, 0, 0, 1, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)","[0, 11, 11, 8, 9, 9, 0, 11, 12, 7, 9, 9, 0, 10, 11, 12, 8, 10, 0, 7, 11, 13, 9, 13, 0]","[0.0, 0.055, 0.055, 0.04, 0.045, 0.045, 0.0, 0.055, 0.06, 0.035, 0.045, 0.045, 0.0, 0.05, 0.055, 0.06, 0.04, 0.05, 0.0, 0.035, 0.055, 0.065, 0.045, 0.065, 0.0]","[11, 11, 8, 9, 9, 11, 12, 7, 9, 9, 10, 11, 12, 8, 10, 7, 11, 13, 9, 13]","[0.055, 0.055, 0.04, 0.045, 0.045, 0.055, 0.06, 0.035, 0.045, 0.045, 0.05, 0.055, 0.06, 0.04, 0.05, 0.035, 0.055, 0.065, 0.045, 0.065]","[0.1134  0.1134  0.08247 0.09278 0.1134  0.12371 0.07216 0.10309 0.1134
 0.07216]","[0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1]","[1, 1, 0, 0, 1, 1, 0, 0, 1, 0]","[5, 4, 1, 5, 5, 3, 5, 4, 4, 4, 1, 6, 6, 5, 2, 5, 3, 3, 2, 7, 6, 2, 6, 4, 2]","[0.05, 0.04, 0.01, 0.05, 0.05, 0.03, 0.05, 0.04, 0.04, 0.04, 0.01, 0.06, 0.06, 0.05, 0.02, 0.05, 0.03, 0.03, 0.02, 0.07, 0.06, 0.02, 0.06, 0.04, 0.02]"
"[(4, 0, 2, 1, 3), (4, 0, 2, 3, 1), (4, 0, 1, 3, 2), (1, 4, 3, 0, 2), (4, 0, 2, 3, 1), (1, 4, 2, 0, 3), (4, 3, 2, 1, 0), (2, 4, 0, 3, 1), (0, 2, 3, 4, 1), (2, 1, 3, 0, 4), (1, 2, 4, 0, 3), (1, 2, 0, 4, 3), (2, 3, 4, 1, 0), (3, 0, 4, 2, 1), (4, 2, 0, 3, 1), (1, 0, 4, 2, 3), (4, 3, 2, 0, 1), (2, 0, 1, 3, 4), (2, 4, 0, 1, 3), (4, 1, 0, 2, 3)]","(1, 0, 1, 0, 1)",0,"(1, 0, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","[0, 11, 9, 14, 6, 9, 0, 7, 11, 7, 11, 13, 0, 15, 8, 6, 9, 5, 0, 5, 14, 13, 12, 15, 0]","[0.0, 0.055, 0.045, 0.07, 0.03, 0.045, 0.0, 0.035, 0.055, 0.035, 0.055, 0.065, 0.0, 0.075, 0.04, 0.03, 0.045, 0.025, 0.0, 0.025, 0.07, 0.065, 0.06, 0.075, 0.0]","[11, 9, 14, 6, 9, 7, 11, 7, 11, 13, 15, 8, 6, 9, 5, 5, 14, 13, 12, 15]","[0.055, 0.045, 0.07, 0.03, 0.045, 0.035, 0.055, 0.035, 0.055, 0.065, 0.075, 0.04, 0.03, 0.045, 0.025, 0.025, 0.07, 0.065, 0.06, 0.075]","[0.11828 0.09677 0.15054 0.06452 0.07527 0.11828 0.07527 0.16129 0.08602
 0.05376]","[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[1, 7, 5, 5, 2, 5, 2, 2, 4, 7, 5, 4, 6, 3, 2, 1, 3, 3, 6, 7, 8, 4, 4, 2, 2]","[0.01, 0.07, 0.05, 0.05, 0.02, 0.05, 0.02, 0.02, 0.04, 0.07, 0.05, 0.04, 0.06, 0.03, 0.02, 0.01, 0.03, 0.03, 0.06, 0.07, 0.08, 0.04, 0.04, 0.02, 0.02]"
"[(1, 2, 4, 3, 0), (1, 0, 2, 3, 4), (1, 3, 4, 2, 0), (2, 3, 0, 4, 1), (1, 0, 4, 2, 3), (1, 3, 0, 4, 2), (0, 3, 1, 4, 2), (1, 4, 3, 2, 0), (3, 0, 1, 2, 4), (3, 4, 1, 0, 2), (1, 3, 4, 0, 2), (4, 2, 3, 1, 0), (1, 0, 2, 3, 4), (1, 2, 4, 0, 3), (4, 1, 0, 2, 3), (4, 3, 0, 1, 2), (4, 1, 3, 0, 2), (4, 1, 3, 0, 2), (4, 3, 2, 0, 1), (3, 1, 2, 0, 4)]","(0, 1, 0, 1, 1)",0,"(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","(0, 1, 1, 1, 0)","(0, 0, 1, 1, 1)","[0, 5, 12, 6, 8, 15, 0, 17, 12, 12, 8, 3, 0, 8, 7, 14, 8, 12, 0, 10, 12, 8, 13, 10, 0]","[0.0, 0.025, 0.06, 0.03, 0.04, 0.075, 0.0, 0.085, 0.06, 0.06, 0.04, 0.015, 0.0, 0.04, 0.035, 0.07, 0.04, 0.06, 0.0, 0.05, 0.06, 0.04, 0.065, 0.05, 0.0]","[5, 12, 6, 8, 15, 17, 12, 12, 8, 3, 8, 7, 14, 8, 12, 10, 12, 8, 13, 10]","[0.025, 0.06, 0.03, 0.04, 0.075, 0.085, 0.06, 0.06, 0.04, 0.015, 0.04, 0.035, 0.07, 0.04, 0.06, 0.05, 0.06, 0.04, 0.065, 0.05]","[0.05155 0.12371 0.06186 0.08247 0.17526 0.12371 0.12371 0.08247 0.07216
 0.10309]","[0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 1, 1, 0, 0, 0]","[1, 4, 4, 7, 4, 9, 4, 3, 2, 2, 1, 3, 4, 5, 7, 3, 7, 4, 3, 3, 6, 2, 5, 3, 4]","[0.01, 0.04, 0.04, 0.07, 0.04, 0.09, 0.04, 0.03, 0.02, 0.02, 0.01, 0.03, 0.04, 0.05, 0.07, 0.03, 0.07, 0.04, 0.03, 0.03, 0.06, 0.02, 0.05, 0.03, 0.04]"
"[(3, 2, 4, 0, 1), (3, 1, 0, 2, 4), (2, 0, 4, 1, 3), (2, 0, 4, 1, 3), (3, 1, 4, 0, 2), (4, 1, 2, 0, 3), (4, 0, 3, 2, 1), (0, 2, 3, 4, 1), (0, 1, 4, 3, 2), (0, 3, 1, 2, 4), (4, 0, 1, 3, 2), (3, 1, 0, 4, 2), (2, 3, 4, 1, 0), (2, 4, 3, 1, 0), (0, 2, 4, 3, 1), (4, 2, 1, 0, 3), (1, 3, 2, 4, 0), (1, 0, 2, 4, 3), (2, 0, 3, 4, 1), (1, 3, 2, 4, 0)]","(1, 0, 1, 0, 1)",0,"(1, 0, 1, 1, 0)","(1, 0, 1, 1, 0)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","[0, 10, 10, 12, 10, 10, 0, 10, 9, 8, 10, 10, 0, 10, 13, 8, 11, 10, 0, 10, 10, 12, 7, 10, 0]","[0.0, 0.05, 0.05, 0.06, 0.05, 0.05, 0.0, 0.05, 0.045, 0.04, 0.05, 0.05, 0.0, 0.05, 0.065, 0.04, 0.055, 0.05, 0.0, 0.05, 0.05, 0.06, 0.035, 0.05, 0.0]","[10, 10, 12, 10, 10, 10, 9, 8, 10, 10, 10, 13, 8, 11, 10, 10, 10, 12, 7, 10]","[0.05, 0.05, 0.06, 0.05, 0.05, 0.05, 0.045, 0.04, 0.05, 0.05, 0.05, 0.065, 0.04, 0.055, 0.05, 0.05, 0.05, 0.06, 0.035, 0.05]","[0.09804 0.09804 0.11765 0.09804 0.09804 0.08824 0.07843 0.09804 0.12745
 0.09804]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[4, 6, 2, 4, 4, 3, 5, 3, 4, 5, 5, 4, 4, 3, 4, 4, 4, 4, 3, 5, 4, 1, 7, 6, 2]","[0.04, 0.06, 0.02, 0.04, 0.04, 0.03, 0.05, 0.03, 0.04, 0.05, 0.05, 0.04, 0.04, 0.03, 0.04, 0.04, 0.04, 0.04, 0.03, 0.05, 0.04, 0.01, 0.07, 0.06, 0.02]"
"[(3, 2, 4, 0, 1), (1, 0, 2, 4, 3), (0, 4, 3, 2, 1), (0, 3, 2, 1, 4), (2, 4, 0, 1, 3), (2, 3, 4, 1, 0), (2, 4, 0, 3, 1), (0, 1, 4, 3, 2), (4, 0, 2, 3, 1), (2, 0, 3, 1, 4), (3, 0, 2, 4, 1), (3, 1, 4, 2, 0), (4, 2, 3, 0, 1), (1, 4, 0, 2, 3), (2, 4, 1, 0, 3), (4, 0, 2, 3, 1), (4, 3, 0, 2, 1), (4, 3, 1, 2, 0), (3, 1, 4, 2, 0), (1, 4, 2, 3, 0)]","(1, 0, 1, 0, 1)",0,"(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(0, 0, 1, 1, 1)","[0, 12, 9, 11, 6, 8, 0, 7, 6, 8, 11, 13, 0, 11, 9, 9, 14, 9, 0, 7, 14, 12, 11, 13, 0]","[0.0, 0.06, 0.045, 0.055, 0.03, 0.04, 0.0, 0.035, 0.03, 0.04, 0.055, 0.065, 0.0, 0.055, 0.045, 0.045, 0.07, 0.045, 0.0, 0.035, 0.07, 0.06, 0.055, 0.065, 0.0]","[12, 9, 11, 6, 8, 7, 6, 8, 11, 13, 11, 9, 9, 14, 9, 7, 14, 12, 11, 13]","[0.06, 0.045, 0.055, 0.03, 0.04, 0.035, 0.03, 0.04, 0.055, 0.065, 0.055, 0.045, 0.045, 0.07, 0.045, 0.035, 0.07, 0.06, 0.055, 0.065]","[0.13953 0.10465 0.12791 0.06977 0.0814  0.06977 0.09302 0.12791 0.10465
 0.0814 ]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0]","[1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[3, 5, 4, 3, 5, 3, 3, 2, 4, 8, 5, 2, 6, 6, 1, 4, 4, 3, 5, 4, 5, 6, 5, 2, 2]","[0.03, 0.05, 0.04, 0.03, 0.05, 0.03, 0.03, 0.02, 0.04, 0.08, 0.05, 0.02, 0.06, 0.06, 0.01, 0.04, 0.04, 0.03, 0.05, 0.04, 0.05, 0.06, 0.05, 0.02, 0.02]"
"[(1, 2, 4, 0, 3), (4, 0, 3, 2, 1), (4, 2, 0, 3, 1), (4, 2, 0, 1, 3), (2, 3, 1, 4, 0), (1, 2, 3, 4, 0), (2, 4, 0, 3, 1), (0, 4, 3, 2, 1), (0, 4, 3, 2, 1), (4, 1, 2, 3, 0), (1, 3, 2, 0, 4), (1, 0, 2, 3, 4), (1, 0, 4, 2, 3), (3, 0, 2, 4, 1), (3, 4, 0, 1, 2), (0, 4, 3, 1, 2), (2, 0, 4, 1, 3), (4, 1, 0, 2, 3), (2, 3, 1, 4, 0), (3, 0, 4, 1, 2)]","(1, 0, 1, 0, 1)",0,"(1, 0, 1, 0, 1)","(0, 1, 1, 0, 1)","(1, 1, 0, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","[0, 11, 10, 12, 9, 9, 0, 10, 9, 7, 10, 10, 0, 12, 9, 8, 11, 8, 0, 8, 11, 13, 11, 12, 0]","[0.0, 0.055, 0.05, 0.06, 0.045, 0.045, 0.0, 0.05, 0.045, 0.035, 0.05, 0.05, 0.0, 0.06, 0.045, 0.04, 0.055, 0.04, 0.0, 0.04, 0.055, 0.065, 0.055, 0.06, 0.0]","[11, 10, 12, 9, 9, 10, 9, 7, 10, 10, 12, 9, 8, 11, 8, 8, 11, 13, 11, 12]","[0.055, 0.05, 0.06, 0.045, 0.045, 0.05, 0.045, 0.035, 0.05, 0.05, 0.06, 0.045, 0.04, 0.055, 0.04, 0.04, 0.055, 0.065, 0.055, 0.06]","[0.1134  0.10309 0.12371 0.09278 0.10309 0.09278 0.07216 0.12371 0.09278
 0.08247]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[3, 6, 5, 2, 4, 5, 2, 2, 5, 6, 4, 4, 4, 5, 3, 3, 3, 5, 4, 5, 5, 5, 4, 4, 2]","[0.03, 0.06, 0.05, 0.02, 0.04, 0.05, 0.02, 0.02, 0.05, 0.06, 0.04, 0.04, 0.04, 0.05, 0.03, 0.03, 0.03, 0.05, 0.04, 0.05, 0.05, 0.05, 0.04, 0.04, 0.02]"
"[(0, 4, 2, 1, 3), (1, 0, 4, 2, 3), (2, 4, 3, 1, 0), (3, 4, 1, 0, 2), (0, 3, 4, 2, 1), (2, 1, 0, 3, 4), (2, 4, 1, 0, 3), (4, 0, 2, 1, 3), (0, 1, 4, 2, 3), (2, 3, 1, 0, 4), (4, 1, 3, 0, 2), (3, 0, 1, 2, 4), (4, 0, 2, 3, 1), (0, 2, 3, 1, 4), (4, 0, 2, 1, 3), (1, 4, 3, 2, 0), (2, 3, 1, 4, 0), (2, 4, 0, 3, 1), (2, 1, 3, 0, 4), (2, 1, 4, 0, 3)]","(0, 0, 1, 1, 1)",0,"(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(0, 0, 1, 1, 1)","[0, 9, 11, 12, 9, 11, 0, 6, 11, 10, 9, 14, 0, 15, 10, 8, 9, 5, 0, 8, 11, 10, 10, 12, 0]","[0.0, 0.045, 0.055, 0.06, 0.045, 0.055, 0.0, 0.03, 0.055, 0.05, 0.045, 0.07, 0.0, 0.075, 0.05, 0.04, 0.045, 0.025, 0.0, 0.04, 0.055, 0.05, 0.05, 0.06, 0.0]","[9, 11, 12, 9, 11, 6, 11, 10, 9, 14, 15, 10, 8, 9, 5, 8, 11, 10, 10, 12]","[0.045, 0.055, 0.06, 0.045, 0.055, 0.03, 0.055, 0.05, 0.045, 0.07, 0.075, 0.05, 0.04, 0.045, 0.025, 0.04, 0.055, 0.05, 0.05, 0.06]","[0.08911 0.10891 0.11881 0.08911 0.05941 0.10891 0.09901 0.14851 0.09901
 0.07921]","[0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 1, 1, 0, 0, 1, 0, 1, 0, 0]","[4, 5, 2, 6, 3, 2, 5, 5, 5, 3, 8, 1, 4, 5, 2, 2, 3, 5, 3, 7, 4, 6, 4, 1, 5]","[0.04, 0.05, 0.02, 0.06, 0.03, 0.02, 0.05, 0.05, 0.05, 0.03, 0.08, 0.01, 0.04, 0.05, 0.02, 0.02, 0.03, 0.05, 0.03, 0.07, 0.04, 0.06, 0.04, 0.01, 0.05]"
"[(2, 0, 4, 1, 3), (3, 1, 2, 0, 4), (0, 1, 3, 2, 4), (0, 3, 1, 4, 2), (2, 1, 4, 0, 3), (1, 4, 3, 2, 0), (3, 0, 4, 1, 2), (2, 4, 3, 1, 0), (2, 4, 1, 3, 0), (1, 3, 0, 2, 4), (3, 1, 4, 0, 2), (1, 2, 3, 0, 4), (1, 3, 0, 2, 4), (2, 1, 0, 3, 4), (3, 2, 4, 1, 0), (0, 2, 3, 4, 1), (4, 1, 2, 3, 0), (2, 0, 4, 1, 3), (2, 1, 4, 3, 0), (1, 3, 0, 2, 4)]","(0, 1, 1, 1, 0)",0,"(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 1, 1, 1, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","[0, 6, 8, 7, 12, 14, 0, 11, 13, 12, 12, 9, 0, 10, 15, 13, 7, 10, 0, 12, 8, 8, 5, 8, 0]","[0.0, 0.03, 0.04, 0.035, 0.06, 0.07, 0.0, 0.055, 0.065, 0.06, 0.06, 0.045, 0.0, 0.05, 0.075, 0.065, 0.035, 0.05, 0.0, 0.06, 0.04, 0.04, 0.025, 0.04, 0.0]","[6, 8, 7, 12, 14, 11, 13, 12, 12, 9, 10, 15, 13, 7, 10, 12, 8, 8, 5, 8]","[0.03, 0.04, 0.035, 0.06, 0.07, 0.055, 0.065, 0.06, 0.06, 0.045, 0.05, 0.075, 0.065, 0.035, 0.05, 0.06, 0.04, 0.04, 0.025, 0.04]","[0.0566  0.07547 0.06604 0.11321 0.10377 0.12264 0.11321 0.09434 0.14151
 0.11321]","[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 1, 0, 1, 1]","[3, 3, 4, 4, 6, 5, 7, 2, 5, 1, 7, 3, 2, 5, 3, 4, 4, 5, 4, 3, 1, 3, 7, 2, 7]","[0.03, 0.03, 0.04, 0.04, 0.06, 0.05, 0.07, 0.02, 0.05, 0.01, 0.07, 0.03, 0.02, 0.05, 0.03, 0.04, 0.04, 0.05, 0.04, 0.03, 0.01, 0.03, 0.07, 0.02, 0.07]"
"[(2, 3, 0, 1, 4), (4, 3, 0, 1, 2), (1, 3, 4, 2, 0), (1, 2, 0, 4, 3), (4, 1, 3, 0, 2), (4, 0, 3, 2, 1), (0, 3, 4, 2, 1), (2, 4, 1, 3, 0), (1, 3, 4, 0, 2), (1, 2, 4, 3, 0), (2, 3, 1, 0, 4), (0, 2, 4, 1, 3), (4, 2, 3, 1, 0), (2, 3, 4, 0, 1), (1, 0, 4, 3, 2), (1, 0, 3, 4, 2), (4, 3, 2, 0, 1), (0, 3, 4, 2, 1), (0, 1, 3, 4, 2), (0, 4, 1, 2, 3)]","(0, 1, 0, 1, 1)",0,"(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","[0, 10, 11, 9, 10, 10, 0, 10, 11, 9, 9, 10, 0, 9, 7, 11, 9, 11, 0, 9, 10, 11, 13, 11, 0]","[0.0, 0.05, 0.055, 0.045, 0.05, 0.05, 0.0, 0.05, 0.055, 0.045, 0.045, 0.05, 0.0, 0.045, 0.035, 0.055, 0.045, 0.055, 0.0, 0.045, 0.05, 0.055, 0.065, 0.055, 0.0]","[10, 11, 9, 10, 10, 10, 11, 9, 9, 10, 9, 7, 11, 9, 11, 9, 10, 11, 13, 11]","[0.05, 0.055, 0.045, 0.05, 0.05, 0.05, 0.055, 0.045, 0.045, 0.05, 0.045, 0.035, 0.055, 0.045, 0.055, 0.045, 0.05, 0.055, 0.065, 0.055]","[0.10526 0.11579 0.09474 0.10526 0.10526 0.11579 0.09474 0.09474 0.07368
 0.09474]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]","[5, 3, 3, 5, 4, 6, 2, 3, 4, 5, 4, 4, 1, 5, 6, 0, 9, 5, 3, 3, 5, 2, 8, 3, 2]","[0.05, 0.03, 0.03, 0.05, 0.04, 0.06, 0.02, 0.03, 0.04, 0.05, 0.04, 0.04, 0.01, 0.05, 0.06, 0.0, 0.09, 0.05, 0.03, 0.03, 0.05, 0.02, 0.08, 0.03, 0.02]"
