All Axioms,Borda,Annealed-k,Annealed-k Vector
1,0.010,0.008,"$(1, 0.69, 0.51, 0.30, 0.08, 0.05, 0)$"
2,0.011,0.011,"$(1, 0.82, 0.50, 0.45, 0.10, 0.01, 0)$"
3,0.022,0.018,"$(1, 0.77, 0.71, 0.24, 0.16, 0.08, 0)$"
4,0.030,0.025,"$(1, 0.74, 0.51, 0.46, 0.12, 0.09, 0)$"
5,0.034,0.028,"$(1, 0.50, 0.44, 0.32, 0.25, 0.05, 0)$"
6,0.025,0.022,"$(1, 0.54, 0.42, 0.42, 0.37, 0.30, 0)$"
Reduced Axioms,Borda,Annealed-k,Annealed-k Vector
1,0.019,0.016,"$(1, 0.70, 0.42, 0.36, 0.19, 0.05, 0)$"
2,0.021,0.018,"$(1, 0.87, 0.54, 0.41, 0.26, 0.01, 0)$"
3,0.036,0.032,"$(1, 0.85, 0.70, 0.38, 0.13, 0.02, 0)$"
4,0.044,0.043,"$(1, 0.63, 0.60, 0.51, 0.22, 0.05, 0)$"
5,0.042,0.042,"$(1, 0.55, 0.47, 0.41, 0.38, 0.08, 0)$"
6,0.030,0.027,"$(1, 0.71, 0.50, 0.48, 0.43, 0.31, 0)$"
