,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,5485,0,1,1408,1408,0,995,577,0,0,1064,32,0
Random Choice,26235,28,1024,5738,5738,154,3200,2554,0,0,3874,3925,0
Borda ranking,5369,0,0,1399,1399,0,989,568,0,0,988,26,0
Plurality ranking,13674,0,446,5176,5176,33,10,0,0,0,113,2720,0
Approval Voting (AV),6778,0,1,1591,1591,0,1260,770,0,0,1565,0,0
Proportional Approval Voting (PAV),8332,1,3,2317,2317,0,1435,933,0,0,1326,0,0
Approval Chamberlin-Courant (CC),26392,26,1041,5759,5759,194,3209,2557,0,0,3927,3920,0
Lexicographic Chamberlin-Courant (lex-CC),12920,11,21,3929,3929,0,1982,1417,0,0,1631,0,0
Sequential Approval Chamberlin-Courant (seq-CC),23861,33,928,5608,5608,8,3033,2370,0,0,3528,2745,0
Monroe's Approval Rule (Monroe),24779,21,662,5715,5715,84,2983,2341,0,0,3566,3692,0
Greedy Monroe,13205,2,62,3833,3833,0,1946,1360,0,0,1853,316,0
Minimax Approval Voting (MAV),24502,25,746,5719,5719,0,3059,2400,0,0,3174,3660,0
