,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,3.090909090909091e-06,0.0,0.0,0.0,0.0,0.0,6e-06,2e-06,0.0,0.0,2.6e-05,0.0
Random Choice,0.020610545454545454,0.0001,0.02229,0.042184,0.04722,0.002256,0.023666,0.018644,0.0,0.0,0.03031,0.040046
Borda ranking,0.0007334545454545455,0.0,0.0,0.00403,0.00403,0.0,2e-06,2e-06,0.0,0.0,4e-06,0.0
Plurality ranking,0.002654181818181818,0.0,5.4e-05,0.01377,0.013914,0.0,0.0,0.0,0.0,0.0,0.0,0.001458
Approval Voting (AV),3.090909090909091e-06,0.0,0.0,0.0,0.0,0.0,6e-06,2e-06,0.0,0.0,2.6e-05,0.0
Proportional Approval Voting (PAV),0.00014254545454545452,0.0,0.0,0.000778,0.000778,0.0,2e-06,2e-06,0.0,0.0,8e-06,0.0
Approval Chamberlin-Courant (CC),0.02009981818181818,9.8e-05,0.020188,0.041902,0.046904,0.0,0.022604,0.017622,0.0,0.0,0.02737,0.04441
Lexicographic Chamberlin-Courant (lex-CC),0.002108909090909091,0.0,0.0,0.011568,0.011568,0.0,2.4e-05,4e-06,0.0,0.0,3.4e-05,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.016746,3.4e-05,0.018504,0.039716,0.044226,0.0,0.014104,0.010392,0.0,0.0,0.017404,0.039826
Monroe's Approval Rule (Monroe),0.011461272727272728,5.2e-05,0.0,0.032932,0.035822,0.0,0.012814,0.009718,0.0,0.0,0.00987,0.024866
Greedy Monroe,0.002152,0.0,6e-06,0.011786,0.011788,0.0,2e-05,6e-06,0.0,0.0,3.8e-05,2.8e-05
Minimax Approval Voting (MAV),0.020076,9.8e-05,0.020128,0.041886,0.046888,0.0,0.022556,0.017572,0.0,0.0,0.02731,0.044398
