,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0022,0.0,0.0,0.0004,0.001,0.0,0.0003,0.0001,0.0,0.0,0.0001,0.0,0.0
Random Choice,0.1909,0.0,0.0,0.0468,0.0682,0.0114,0.0297,0.0174,0.0,0.0,0.0174,0.0,0.0
Borda ranking,0.0185,0.0,0.0,0.0044,0.0097,0.0,0.0026,0.0009,0.0,0.0,0.0009,0.0,0.0
Plurality ranking,0.0677,0.0,0.0,0.0255,0.0409,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0954,0.0,0.0,0.0208,0.0343,0.0012,0.0183,0.0104,0.0,0.0,0.0104,0.0,0.0
Proportional Approval Voting (PAV),0.0954,0.0,0.0,0.0208,0.0343,0.0012,0.0183,0.0104,0.0,0.0,0.0104,0.0,0.0
Approval Chamberlin-Courant (CC),0.1871,0.0,0.0,0.0445,0.0665,0.0118,0.0291,0.0176,0.0,0.0,0.0176,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0954,0.0,0.0,0.0208,0.0343,0.0012,0.0183,0.0104,0.0,0.0,0.0104,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.1692,0.0,0.0,0.0415,0.0619,0.0067,0.0265,0.0163,0.0,0.0,0.0163,0.0,0.0
Monroe's Approval Rule (Monroe),0.1871,0.0,0.0,0.0445,0.0665,0.0118,0.0291,0.0176,0.0,0.0,0.0176,0.0,0.0
Greedy Monroe,0.1293,0.0,0.0,0.0322,0.0496,0.0023,0.0212,0.012,0.0,0.0,0.012,0.0,0.0
Minimax Approval Voting (MAV),0.1871,0.0,0.0,0.0445,0.0665,0.0118,0.0291,0.0176,0.0,0.0,0.0176,0.0,0.0
