,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0016523636363636363,0.0,0.0,0.0,0.000618,0.0,0.00662,0.004348,0.0,0.0,0.006464,0.00012
Random Choice,0.01679981818181818,0.000392,0.010196,0.037908,0.045142,0.002654,0.022656,0.018492,0.0,0.0,0.023266,0.024092
Borda ranking,0.0023603636363636366,0.0,3.2e-05,0.006558,0.008142,0.0,0.004714,0.002802,0.0,0.0,0.003608,0.000108
Plurality ranking,0.008043636363636364,0.0,0.00506,0.03059,0.036328,0.0005,0.000104,0.0,0.0,0.0,0.000128,0.01577
Approval Voting (AV),0.003682,2e-06,2e-05,0.007378,0.009748,0.0,0.008676,0.00604,0.0,0.0,0.008638,0.0
Proportional Approval Voting (PAV),0.004364181818181818,4e-06,1.2e-05,0.01075,0.013872,0.0,0.009186,0.00644,0.0,0.0,0.007742,0.0
Approval Chamberlin-Courant (CC),0.016702,0.000346,0.010134,0.03784,0.044986,0.002786,0.022354,0.018232,0.0,0.0,0.022812,0.024232
Lexicographic Chamberlin-Courant (lex-CC),0.009319636363636363,0.000164,0.001256,0.028622,0.033398,0.0,0.015384,0.011844,0.0,0.0,0.011848,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.01531,0.000406,0.009156,0.036736,0.043584,0.000672,0.022164,0.018136,0.0,0.0,0.022094,0.015462
Monroe's Approval Rule (Monroe),0.016101636363636363,0.000304,0.008306,0.03735,0.044462,0.002506,0.021536,0.017524,0.0,0.0,0.021888,0.023242
Greedy Monroe,0.007328545454545455,4.4e-05,0.00097,0.020728,0.024782,4e-06,0.012726,0.009528,0.0,0.0,0.01087,0.000962
Minimax Approval Voting (MAV),0.012729272727272728,0.000238,0.004584,0.033024,0.03895,0.001404,0.019016,0.015192,0.0,0.0,0.017628,0.009986
