,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0,0,0,0,0,0,0,0,0,0,0,0,0
Random Choice,3276,252,488,654,668,331,268,262,0,19,262,72,0
Borda ranking,27,0,0,13,14,0,0,0,0,0,0,0,0
Plurality ranking,192,0,27,70,73,4,6,0,0,6,0,6,0
Approval Voting (AV),68,0,0,29,32,4,1,1,0,0,1,0,0
Proportional Approval Voting (PAV),68,0,0,29,32,4,1,1,0,0,1,0,0
Approval Chamberlin-Courant (CC),2977,211,451,638,646,285,226,218,0,18,218,66,0
Lexicographic Chamberlin-Courant (lex-CC),68,0,0,29,32,4,1,1,0,0,1,0,0
Sequential Approval Chamberlin-Courant (seq-CC),1526,25,356,481,489,50,39,29,0,14,29,14,0
Monroe's Approval Rule (Monroe),573,24,0,187,195,83,28,28,0,0,28,0,0
Greedy Monroe,243,1,17,101,104,14,2,2,0,0,2,0,0
Minimax Approval Voting (MAV),2829,201,433,620,628,275,208,208,0,0,208,48,0
