,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,153,0,0,26,36,5,21,21,0,0,21,21,0
Random Choice,306,0,0,50,72,12,43,43,0,0,43,43,0
Borda ranking,12,0,0,2,10,0,0,0,0,0,0,0,0
Plurality ranking,116,0,0,48,68,0,0,0,0,0,0,0,0
Approval Voting (AV),45,0,0,19,26,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),45,0,0,19,26,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),306,0,0,52,72,10,43,43,0,0,43,43,0
Lexicographic Chamberlin-Courant (lex-CC),45,0,0,19,26,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),333,0,0,54,78,9,48,48,0,0,48,48,0
Monroe's Approval Rule (Monroe),306,0,0,52,72,10,43,43,0,0,43,43,0
Greedy Monroe,93,0,0,40,53,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),306,0,0,52,72,10,43,43,0,0,43,43,0
