,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,172,0,0,29,40,5,24,24,0,0,24,24,0
Random Choice,337,0,0,61,80,12,46,46,0,0,46,46,0
Borda ranking,11,0,0,3,8,0,0,0,0,0,0,0,0
Plurality ranking,125,0,0,54,71,0,0,0,0,0,0,0,0
Approval Voting (AV),39,0,0,15,24,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),39,0,0,15,24,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),345,0,0,58,80,11,49,49,0,0,49,49,0
Lexicographic Chamberlin-Courant (lex-CC),39,0,0,15,24,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),330,0,0,59,80,11,45,45,0,0,45,45,0
Monroe's Approval Rule (Monroe),345,0,0,58,80,11,49,49,0,0,49,49,0
Greedy Monroe,91,0,0,39,52,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),345,0,0,58,80,11,49,49,0,0,49,49,0
