,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.2457,0.0392,0.009,0.0734,0.078,0.0179,0.0016,0.0016,0.0016,0.0016,0.0088,0.013,0.0
Borda ranking,0.0085,0.0,0.0,0.0036,0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0162,0.0,0.0,0.0068,0.0091,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0165,0.0,0.0,0.007,0.0093,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0165,0.0,0.0,0.007,0.0093,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0165,0.0,0.0,0.007,0.0093,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0165,0.0,0.0,0.007,0.0093,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0162,0.0,0.0,0.0068,0.0091,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0165,0.0,0.0,0.007,0.0093,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0162,0.0,0.0,0.0068,0.0091,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.2335,0.0368,0.0097,0.0703,0.0747,0.0201,0.0,0.0,0.0,0.0,0.0086,0.0133,0.0
