,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,9.6e-05,0.0,0.0,0.0,9.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.327452,0.001024,4e-06,0.071384,0.090724,0.002448,0.002428,0.002428,0.0,0.0,0.071296,0.085716,0.0
Borda ranking,0.008412,0.0,0.0,0.003276,0.005136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.037528,0.0,0.0,0.016556,0.020972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.02926,4e-06,0.0,0.012424,0.0167,0.0,4.4e-05,4.4e-05,0.0,0.0,4.4e-05,0.0,0.0
Proportional Approval Voting (PAV),0.02926,4e-06,0.0,0.012424,0.0167,0.0,4.4e-05,4.4e-05,0.0,0.0,4.4e-05,0.0,0.0
Approval Chamberlin-Courant (CC),0.11228,0.000464,0.0,0.04952,0.059032,0.0,0.001088,0.001088,0.0,0.0,0.001088,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.02926,4e-06,0.0,0.012424,0.0167,0.0,4.4e-05,4.4e-05,0.0,0.0,4.4e-05,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.084952,7.6e-05,0.0,0.039112,0.044984,0.0,0.00026,0.00026,0.0,0.0,0.00026,0.0,0.0
Monroe's Approval Rule (Monroe),0.110232,0.000432,0.0,0.048608,0.05812,0.0,0.001024,0.001024,0.0,0.0,0.001024,0.0,0.0
Greedy Monroe,0.060556,2.4e-05,0.0,0.027352,0.032832,0.0,0.000116,0.000116,0.0,0.0,0.000116,0.0,0.0
Minimax Approval Voting (MAV),0.11228,0.000464,0.0,0.04952,0.059032,0.0,0.001088,0.001088,0.0,0.0,0.001088,0.0,0.0
