,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,2279,1,0,1122,1122,0,4,1,0,0,26,3,0
Random Choice,11598,13,192,4486,4486,230,21,13,0,0,1805,352,0
Borda ranking,2047,0,0,1010,1010,0,3,0,0,0,22,2,0
Plurality ranking,7933,0,41,3833,3833,23,0,0,0,0,130,73,0
Approval Voting (AV),5117,0,3,2479,2479,3,0,0,0,0,153,0,0
Proportional Approval Voting (PAV),6104,1,3,3046,3046,0,1,1,0,0,6,0,0
Approval Chamberlin-Courant (CC),7900,9,14,3915,3915,0,14,9,0,0,21,3,0
Lexicographic Chamberlin-Courant (lex-CC),7798,9,13,3866,3866,0,14,9,0,0,21,0,0
Sequential Approval Chamberlin-Courant (seq-CC),7692,6,17,3817,3817,0,9,6,0,0,13,7,0
Monroe's Approval Rule (Monroe),7578,4,8,3766,3766,0,6,4,0,0,20,4,0
Greedy Monroe,7476,3,13,3720,3720,0,5,3,0,0,10,2,0
Minimax Approval Voting (MAV),11665,14,206,4502,4502,225,21,14,0,0,1847,334,0
