,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0007161818181818182,0.0,0.0,0.0,0.000444,0.0,0.002132,0.001226,0.0,0.0,0.003946,0.000126
Random Choice,0.015431636363636364,0.000654,0.008642,0.039556,0.046044,0.002042,0.014132,0.011082,0.0,0.0,0.02504,0.022556
Borda ranking,0.0017781818181818183,0.0,2e-06,0.005866,0.00731,0.0,0.00221,0.001324,0.0,0.0,0.002778,7e-05
Plurality ranking,0.007573636363636364,0.0,0.0029,0.0316,0.036588,0.0002,8e-06,0.0,0.0,0.0,0.000548,0.011466
Approval Voting (AV),0.0022003636363636366,4e-06,1.4e-05,0.007132,0.009094,0.0,0.00227,0.001344,0.0,0.0,0.004346,0.0
Proportional Approval Voting (PAV),0.003240909090909091,1.8e-05,2.4e-05,0.011792,0.014588,0.0,0.00356,0.0023,0.0,0.0,0.003368,0.0
Approval Chamberlin-Courant (CC),0.01460509090909091,0.000634,0.007328,0.0396,0.046052,6.8e-05,0.013542,0.010568,0.0,0.0,0.019534,0.02333
Lexicographic Chamberlin-Courant (lex-CC),0.007092,0.000278,0.00044,0.026422,0.030358,0.0,0.007904,0.005922,0.0,0.0,0.006688,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.012381454545454546,0.00047,0.00627,0.037266,0.043236,2e-06,0.011774,0.009012,0.0,0.0,0.016336,0.01183
Monroe's Approval Rule (Monroe),0.010524727272727272,0.000324,0.00119,0.033776,0.039352,1.8e-05,0.009266,0.007098,0.0,0.0,0.011426,0.013322
Greedy Monroe,0.005962181818181818,7.4e-05,0.000492,0.02211,0.025918,0.0,0.005726,0.004058,0.0,0.0,0.005712,0.001494
Minimax Approval Voting (MAV),0.014482727272727272,0.000628,0.007254,0.039362,0.045776,6.8e-05,0.013464,0.010494,0.0,0.0,0.019356,0.022908
