,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.04418181818181818,0.0,0.0,0.07,0.092,0.006,0.08,0.076,0.0,0.0,0.076,0.08
Random Choice,0.04363636363636363,0.002,0.002,0.062,0.088,0.006,0.086,0.074,0.0,0.0,0.074,0.086
Borda ranking,0.0012727272727272728,0.0,0.0,0.006,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.008181818181818182,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0041818181818181815,0.0,0.0,0.022,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0041818181818181815,0.0,0.0,0.022,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.045454545454545456,0.002,0.002,0.07,0.092,0.006,0.084,0.08,0.0,0.0,0.08,0.084
Lexicographic Chamberlin-Courant (lex-CC),0.0041818181818181815,0.0,0.0,0.022,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.03872727272727273,0.0,0.002,0.066,0.084,0.002,0.072,0.064,0.0,0.0,0.064,0.072
Monroe's Approval Rule (Monroe),0.045454545454545456,0.002,0.002,0.07,0.092,0.006,0.084,0.08,0.0,0.0,0.08,0.084
Greedy Monroe,0.008,0.0,0.0,0.038,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.011454545454545455,0.0,0.0,0.056,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
