,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,170,0,0,35,45,1,0,0,0,0,40,47,0
Random Choice,311,0,0,68,84,2,1,1,0,0,70,85,0
Borda ranking,5,0,0,2,3,0,0,0,0,0,0,0,0
Plurality ranking,28,0,0,12,16,0,0,0,0,0,0,0,0
Approval Voting (AV),31,0,0,13,18,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),31,0,0,13,18,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),110,0,0,50,60,0,0,0,0,0,0,0,0
Lexicographic Chamberlin-Courant (lex-CC),31,0,0,13,18,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),77,0,0,36,38,0,1,1,0,0,1,0,0
Monroe's Approval Rule (Monroe),108,0,0,49,59,0,0,0,0,0,0,0,0
Greedy Monroe,56,1,0,24,28,0,1,1,0,0,1,0,0
Minimax Approval Voting (MAV),110,0,0,50,60,0,0,0,0,0,0,0,0
