,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0008470909090909091,0.0,2e-06,0.0,0.000642,0.0,0.002386,0.001318,0.0,0.0,0.004766,0.000198
Random Choice,0.01504709090909091,0.000544,0.00776,0.037978,0.045772,0.002,0.013558,0.010378,0.0,0.0,0.024408,0.02312
Borda ranking,0.002016727272727273,2e-06,0.0,0.006498,0.008416,0.0,0.002466,0.001446,0.0,0.0,0.00328,7.6e-05
Plurality ranking,0.0078,0.0,0.002658,0.031456,0.037682,0.000214,0.0,0.0,0.0,0.0,0.00071,0.01308
Approval Voting (AV),0.0024883636363636366,6e-06,2.8e-05,0.007856,0.01037,0.0,0.00255,0.001466,0.0,0.0,0.005096,0.0
Proportional Approval Voting (PAV),0.003741090909090909,1.8e-05,2e-05,0.013402,0.017142,0.0,0.004088,0.002644,0.0,0.0,0.003838,0.0
Approval Chamberlin-Courant (CC),0.014262363636363636,0.000502,0.006568,0.037778,0.045536,0.000114,0.013174,0.010118,0.0,0.0,0.019196,0.0239
Lexicographic Chamberlin-Courant (lex-CC),0.007150909090909091,0.000282,0.000294,0.026102,0.031082,0.0,0.008088,0.00597,0.0,0.0,0.006842,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.012219636363636365,0.000454,0.005394,0.035878,0.043004,6e-06,0.011804,0.008946,0.0,0.0,0.016518,0.012412
Monroe's Approval Rule (Monroe),0.01061890909090909,0.000284,0.001206,0.033018,0.039826,2.2e-05,0.009358,0.00706,0.0,0.0,0.011618,0.014416
Greedy Monroe,0.006413090909090909,8e-05,0.000476,0.022908,0.027872,0.0,0.006412,0.004454,0.0,0.0,0.006372,0.00197
Minimax Approval Voting (MAV),0.01408109090909091,0.000502,0.006446,0.037394,0.045092,0.000114,0.013116,0.010068,0.0,0.0,0.018928,0.023232
