,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.2508,0.004,0.0153,0.0759,0.0869,0.0094,0.0047,0.0047,0.0,0.0,0.0343,0.0156,0.0
Borda ranking,0.0319,0.0002,0.0,0.0145,0.0162,0.0,0.0002,0.0002,0.0,0.0,0.0005,0.0001,0.0
Plurality ranking,0.1244,0.0,0.0036,0.0533,0.0602,0.0004,0.0,0.0,0.0,0.0,0.0005,0.0064,0.0
Approval Voting (AV),0.043,0.0,0.0003,0.0191,0.0228,0.0001,0.0,0.0,0.0,0.0,0.0007,0.0,0.0
Proportional Approval Voting (PAV),0.0844,0.0002,0.0006,0.0377,0.0448,0.0001,0.0003,0.0003,0.0,0.0,0.0004,0.0,0.0
Approval Chamberlin-Courant (CC),0.166,0.0036,0.0032,0.0675,0.0769,0.0002,0.0044,0.0044,0.0,0.0,0.0046,0.0012,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.1566,0.0032,0.0026,0.0647,0.0736,0.0002,0.004,0.004,0.0,0.0,0.0043,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.151,0.0016,0.0035,0.0638,0.0728,0.0001,0.002,0.002,0.0,0.0,0.0025,0.0027,0.0
Monroe's Approval Rule (Monroe),0.1194,0.0013,0.0007,0.0504,0.0585,0.0002,0.002,0.002,0.0,0.0,0.0025,0.0018,0.0
Greedy Monroe,0.1113,0.0004,0.0014,0.0495,0.0574,0.0001,0.0006,0.0006,0.0,0.0,0.0009,0.0004,0.0
Minimax Approval Voting (MAV),0.2228,0.0048,0.0113,0.0725,0.0835,0.0059,0.0064,0.0064,0.0,0.0,0.0273,0.0047,0.0
