,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.3678,0.021,0.0298,0.0814,0.0878,0.0094,0.0435,0.0322,0.0,0.0013,0.0385,0.0229,0.0
Borda ranking,0.0053,0.0,0.0,0.002,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.062,0.0,0.0045,0.0245,0.0273,0.0001,0.0013,0.0,0.0,0.0007,0.0,0.0036,0.0
Approval Voting (AV),0.0112,0.0,0.0,0.0047,0.0064,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0
Proportional Approval Voting (PAV),0.0121,0.0,0.0,0.0049,0.0067,0.0,0.0001,0.0001,0.0,0.0,0.0003,0.0,0.0
Approval Chamberlin-Courant (CC),0.3651,0.0211,0.0298,0.0798,0.0865,0.0075,0.0437,0.0324,0.0,0.0013,0.0392,0.0238,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.033,0.0,0.0002,0.0146,0.0176,0.0,0.0001,0.0001,0.0,0.0,0.0004,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2428,0.0052,0.0278,0.0732,0.0782,0.0002,0.0222,0.0078,0.0,0.001,0.0102,0.017,0.0
Monroe's Approval Rule (Monroe),0.1514,0.0043,0.0,0.0434,0.0501,0.002,0.017,0.0139,0.0,0.0,0.0201,0.0006,0.0
Greedy Monroe,0.0373,0.0,0.0,0.016,0.0198,0.0,0.0005,0.0003,0.0,0.0,0.0007,0.0,0.0
Minimax Approval Voting (MAV),0.2309,0.0072,0.0108,0.0636,0.0703,0.004,0.0242,0.0181,0.0,0.0,0.0249,0.0078,0.0
