,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,147,0,0,33,42,1,1,1,0,0,31,37,0
Random Choice,330,0,0,71,90,3,2,2,0,0,73,89,0
Borda ranking,14,0,0,6,8,0,0,0,0,0,0,0,0
Plurality ranking,42,0,0,19,23,0,0,0,0,0,0,0,0
Approval Voting (AV),28,0,0,11,17,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),28,0,0,11,17,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),115,1,0,49,62,0,1,1,0,0,1,0,0
Lexicographic Chamberlin-Courant (lex-CC),28,0,0,11,17,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),86,0,0,39,47,0,0,0,0,0,0,0,0
Monroe's Approval Rule (Monroe),113,1,0,48,61,0,1,1,0,0,1,0,0
Greedy Monroe,57,0,0,25,32,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),115,1,0,49,62,0,1,1,0,0,1,0,0
