,mean_violations,majority,majority_loser,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,unanimity,local_stability,count_viols
Neural Network,263,0,0,2,4,4,0,0,0,253,0
Random Choice,2768,77,36,27,246,166,77,0,0,2139,0
Borda ranking,2657,73,29,26,223,156,73,0,0,2077,0
Plurality ranking,2689,81,35,27,228,160,81,0,0,2077,0
Approval Voting (AV),790,0,12,9,64,0,0,0,0,705,0
Proportional Approval Voting (PAV),184,18,23,18,1,61,18,0,0,45,0
Approval Chamberlin-Courant (CC),436,71,29,28,0,151,71,0,0,86,0
Lexicographic Chamberlin-Courant (lex-CC),432,70,29,28,0,150,70,0,0,85,0
Sequential Approval Chamberlin-Courant (seq-CC),226,26,24,28,0,77,26,0,0,45,0
Monroe's Approval Rule (Monroe),440,74,28,28,0,148,74,0,0,88,0
Greedy Monroe,225,26,25,27,0,76,26,0,0,45,0
Minimax Approval Voting (MAV),2634,77,33,27,227,163,77,0,0,2030,0
