,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0129,0.0,0.0015,0.0032,0.0035,0.0,0.0015,0.0012,0.0,0.0,0.0012,0.0005,0.0
Random Choice,0.3367,0.0018,0.0365,0.0714,0.0789,0.0184,0.0363,0.0299,0.0001,0.0,0.0299,0.0335,0.0
Borda ranking,0.029,0.0,0.0031,0.0095,0.0111,0.0,0.0027,0.0013,0.0,0.0,0.0013,0.0,0.0
Plurality ranking,0.1401,0.0,0.023,0.0452,0.0491,0.0033,0.0003,0.0,0.0,0.0,0.0,0.0192,0.0
Approval Voting (AV),0.0479,0.0,0.0,0.0084,0.0096,0.0002,0.0117,0.009,0.0,0.0,0.009,0.0,0.0
Proportional Approval Voting (PAV),0.0479,0.0,0.0,0.0084,0.0096,0.0002,0.0117,0.009,0.0,0.0,0.009,0.0,0.0
Approval Chamberlin-Courant (CC),0.3305,0.0016,0.0358,0.0698,0.0764,0.0168,0.0373,0.0316,0.0001,0.0,0.0316,0.0295,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0479,0.0,0.0,0.0084,0.0096,0.0002,0.0117,0.009,0.0,0.0,0.009,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.3277,0.0019,0.0362,0.0702,0.0764,0.0165,0.0377,0.032,0.0001,0.0,0.032,0.0247,0.0
Monroe's Approval Rule (Monroe),0.3254,0.0015,0.0348,0.0688,0.0754,0.0166,0.0368,0.0311,0.0001,0.0,0.0311,0.0292,0.0
Greedy Monroe,0.1035,0.0002,0.0074,0.0265,0.0285,0.0004,0.0162,0.0121,0.0001,0.0,0.0121,0.0,0.0
Minimax Approval Voting (MAV),0.3305,0.0016,0.0358,0.0698,0.0764,0.0168,0.0373,0.0316,0.0001,0.0,0.0316,0.0295,0.0
