,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0027,0.0,0.0,0.0007,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.1108,0.0,0.0,0.0366,0.0672,0.0039,0.0,0.0,0.0,0.0,0.0031,0.0,0.0
Borda ranking,0.0118,0.0,0.0,0.0024,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.058,0.0,0.0,0.0183,0.0395,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0359,0.0,0.0,0.0103,0.0256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0437,0.0,0.0,0.0137,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0601,0.0,0.0,0.0197,0.0404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0546,0.0,0.0,0.0178,0.0368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0578,0.0,0.0,0.019,0.0388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0601,0.0,0.0,0.0197,0.0404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0576,0.0,0.0,0.0189,0.0387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.1104,0.0,0.0,0.0362,0.0671,0.004,0.0,0.0,0.0,0.0,0.0031,0.0,0.0
