,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,7.981818181818181e-05,0.0,2e-06,0.0,4e-05,4e-06,0.0,0.0,0.0,0.0,4e-05,0.000788
Random Choice,0.012221636363636363,0.022192,0.004278,0.033698,0.037076,0.006736,0.002056,0.002056,0.002056,0.002056,0.007322,0.014912
Borda ranking,0.0016061818181818182,0.003396,0.0,0.005828,0.007024,0.0,0.0,0.0,0.0,0.0,0.0,0.00142
Plurality ranking,0.0009887272727272728,0.0,7.4e-05,0.004512,0.006136,0.000154,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0009843636363636363,0.0,7.8e-05,0.00447,0.006126,0.000154,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0009843636363636363,0.0,7.8e-05,0.00447,0.006126,0.000154,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0009843636363636363,0.0,7.8e-05,0.00447,0.006126,0.000154,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0009843636363636363,0.0,7.8e-05,0.00447,0.006126,0.000154,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0009887272727272728,0.0,7.4e-05,0.004512,0.006136,0.000154,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0009843636363636363,0.0,7.8e-05,0.00447,0.006126,0.000154,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0009887272727272728,0.0,7.4e-05,0.004512,0.006136,0.000154,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.010496727272727272,0.020194,0.003966,0.031644,0.03509,0.006258,0.0,0.0,0.0,0.0,0.005306,0.013006
