,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,143,0,0,34,42,0,0,0,0,0,29,37,0
Random Choice,337,0,0,75,91,3,1,1,0,0,77,89,0
Borda ranking,6,0,0,2,4,0,0,0,0,0,0,0,0
Plurality ranking,22,0,0,9,13,0,0,0,0,0,0,0,0
Approval Voting (AV),45,0,0,21,24,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),45,0,0,21,24,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),117,0,0,52,62,0,1,1,0,0,1,0,0
Lexicographic Chamberlin-Courant (lex-CC),45,0,0,21,24,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),93,0,0,44,49,0,0,0,0,0,0,0,0
Monroe's Approval Rule (Monroe),117,0,0,52,62,0,1,1,0,0,1,0,0
Greedy Monroe,82,0,0,39,43,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),117,0,0,52,62,0,1,1,0,0,1,0,0
