,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0013398181818181818,0.0,0.0,0.0,0.000564,0.0,0.005424,0.003448,0.0,0.0,0.005154,0.000144
Random Choice,0.017206909090909092,0.00044,0.011664,0.039286,0.045396,0.0028,0.022742,0.018682,0.0,0.0,0.023416,0.02485
Borda ranking,0.002047090909090909,0.0,4.8e-05,0.006144,0.007582,0.0,0.003702,0.002154,0.0,0.0,0.00279,9.8e-05
Plurality ranking,0.007996181818181817,0.0,0.005702,0.030948,0.035578,0.000436,8.8e-05,0.0,0.0,0.0,9e-05,0.015116
Approval Voting (AV),0.0029354545454545453,2e-06,3e-05,0.006212,0.007918,0.0,0.006828,0.004618,0.0,0.0,0.006682,0.0
Proportional Approval Voting (PAV),0.003581090909090909,2e-06,1.6e-05,0.00917,0.011554,0.0,0.007414,0.005096,0.0,0.0,0.00614,0.0
Approval Chamberlin-Courant (CC),0.017183636363636363,0.000412,0.01167,0.039206,0.045386,0.00281,0.022672,0.01863,0.0,0.0,0.023378,0.024856
Lexicographic Chamberlin-Courant (lex-CC),0.009068727272727272,0.00017,0.001568,0.02887,0.032772,0.0,0.014388,0.01099,0.0,0.0,0.010998,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.015403454545454547,0.000426,0.010576,0.037812,0.043548,0.000642,0.021434,0.01764,0.0,0.0,0.021398,0.015962
Monroe's Approval Rule (Monroe),0.016490545454545456,0.000332,0.009638,0.038626,0.044738,0.002486,0.021734,0.017802,0.0,0.0,0.022252,0.023788
Greedy Monroe,0.006506545454545455,2.2e-05,0.001094,0.019734,0.02297,1e-05,0.010474,0.007652,0.0,0.0,0.008732,0.000884
Minimax Approval Voting (MAV),0.01284090909090909,0.000312,0.005776,0.033892,0.038982,0.00141,0.018568,0.014858,0.0,0.0,0.017328,0.010124
