,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.008359272727272727,0.0,0.007324,0.03666,0.040638,0.007324,0.0,0.0,0.0,0.0,2e-06,4e-06
Borda ranking,0.0008609090909090909,0.0,0.0,0.004726,0.004744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.006576727272727273,0.0,0.002896,0.031292,0.03526,0.002896,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.006555090909090909,0.0,0.00276,0.031316,0.03527,0.00276,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.006555090909090909,0.0,0.00276,0.031316,0.03527,0.00276,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.006555090909090909,0.0,0.00276,0.031316,0.03527,0.00276,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.006555090909090909,0.0,0.00276,0.031316,0.03527,0.00276,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.006576727272727273,0.0,0.002896,0.031292,0.03526,0.002896,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.006555090909090909,0.0,0.00276,0.031316,0.03527,0.00276,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.006576727272727273,0.0,0.002896,0.031292,0.03526,0.002896,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.008418181818181818,0.0,0.007432,0.036894,0.040826,0.007432,0.0,0.0,0.0,0.0,6e-06,1e-05
