,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0007,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.1148,0.0,0.0,0.038,0.0658,0.0032,0.0,0.0,0.0,0.0,0.0078,0.0,0.0
Borda ranking,0.0167,0.0,0.0,0.0038,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.065,0.0,0.0,0.0228,0.0422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0419,0.0,0.0,0.0127,0.0292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0489,0.0,0.0,0.016,0.0329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0674,0.0,0.0,0.0233,0.0438,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0635,0.0,0.0,0.0222,0.0413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0655,0.0,0.0,0.023,0.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0659,0.0,0.0,0.0227,0.0429,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0,0.0
Greedy Monroe,0.0622,0.0,0.0,0.0212,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.1154,0.0,0.0,0.0383,0.0671,0.0031,0.0,0.0,0.0,0.0,0.0069,0.0,0.0
