,mean_violations,majority,majority_loser,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,unanimity,local_stability,count_viols
Neural Network,162,0,2,3,0,69,26,0,0,62,0
Random Choice,13475,814,1979,308,268,3993,2854,0,49,3210,0
Borda ranking,13372,790,1944,310,261,3963,2852,0,48,3204,0
Plurality ranking,13279,790,1961,307,285,3937,2804,0,44,3151,0
Approval Voting (AV),539,0,0,4,0,221,112,0,0,202,0
Proportional Approval Voting (PAV),538,0,0,4,0,227,112,0,0,195,0
Approval Chamberlin-Courant (CC),13522,791,2007,285,284,4018,2876,0,47,3214,0
Lexicographic Chamberlin-Courant (lex-CC),634,0,7,25,0,250,131,0,0,221,0
Sequential Approval Chamberlin-Courant (seq-CC),10971,586,1915,305,81,3352,2177,0,46,2509,0
Monroe's Approval Rule (Monroe),9266,398,393,165,158,3006,2408,0,0,2738,0
Greedy Monroe,1071,0,11,24,0,402,242,0,0,392,0
Minimax Approval Voting (MAV),9396,343,791,220,178,2949,2291,0,0,2624,0
