,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,250,0,0,30,44,1,44,42,0,0,42,44,0
Random Choice,475,0,0,60,89,2,85,77,0,0,77,85,0
Borda ranking,9,0,0,3,6,0,0,0,0,0,0,0,0
Plurality ranking,123,0,0,51,72,0,0,0,0,0,0,0,0
Approval Voting (AV),33,0,0,13,20,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),33,0,0,13,20,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),500,1,0,60,88,3,89,85,0,0,85,89,0
Lexicographic Chamberlin-Courant (lex-CC),33,0,0,13,20,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),504,0,0,60,90,0,93,84,0,0,84,93,0
Monroe's Approval Rule (Monroe),366,0,0,49,69,0,65,59,0,0,59,65,0
Greedy Monroe,87,0,0,37,50,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),99,0,0,41,58,0,0,0,0,0,0,0,0
