,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.000904,0.0,4e-06,0.0,0.000594,0.0,0.002492,0.00145,0.0,0.0,0.00516,0.000236
Random Choice,0.014460727272727273,0.000474,0.00517,0.037074,0.045334,0.002016,0.013136,0.010072,0.0,0.0,0.024076,0.021716
Borda ranking,0.002083818181818182,0.0,0.0,0.006558,0.008574,0.0,0.002606,0.001564,0.0,0.0,0.00352,0.0001
Plurality ranking,0.007762545454545455,0.0,0.002274,0.031048,0.037778,0.000242,0.0,0.0,0.0,0.0,0.000718,0.013328
Approval Voting (AV),0.002655818181818182,2e-06,2.4e-05,0.008302,0.011174,0.0,0.002662,0.001556,0.0,0.0,0.005494,0.0
Proportional Approval Voting (PAV),0.003981636363636363,8e-06,3e-05,0.014324,0.01841,0.0,0.004278,0.002778,0.0,0.0,0.00397,0.0
Approval Chamberlin-Courant (CC),0.013781636363636364,0.000408,0.004362,0.037068,0.045388,0.0001,0.012898,0.00985,0.0,0.0,0.01867,0.022854
Lexicographic Chamberlin-Courant (lex-CC),0.007158909090909091,0.000192,0.00027,0.026032,0.031358,0.0,0.00819,0.005934,0.0,0.0,0.006772,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.011773454545454545,0.000354,0.00361,0.035192,0.04275,6e-06,0.011552,0.008592,0.0,0.0,0.016388,0.011064
Monroe's Approval Rule (Monroe),0.01076890909090909,0.000236,0.001226,0.033196,0.040616,2.2e-05,0.009452,0.007026,0.0,0.0,0.01179,0.014894
Greedy Monroe,0.006665636363636364,5.6e-05,0.000474,0.023634,0.028868,0.0,0.006718,0.004708,0.0,0.0,0.006716,0.002148
Minimax Approval Voting (MAV),0.013710363636363637,0.000408,0.004332,0.036918,0.04521,0.0001,0.01287,0.009824,0.0,0.0,0.018566,0.022586
