,total_violations,majority,majority_loser,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,unanimity,local_stability,count_viols
Neural Network,56,0,0,55,0,0,0,0,0,1,0
Random Choice,2422,219,310,547,86,461,357,0,13,429,0
Borda ranking,58,0,0,57,0,0,0,0,0,1,0
Plurality ranking,259,0,39,194,0,15,0,0,11,0,0
STV,108,0,0,108,0,0,0,0,0,0,0
Approval Voting (AV),101,0,0,90,0,2,1,0,0,8,0
Proportional Approval Voting (PAV),104,0,0,93,0,2,1,0,0,8,0
Approval Chamberlin-Courant (CC),2438,222,323,566,92,467,344,0,14,410,0
Lexicographic Chamberlin-Courant (lex-CC),183,0,3,162,0,7,2,0,0,9,0
Sequential Approval Chamberlin-Courant (seq-CC),1187,61,251,441,2,218,87,0,15,112,0
Monroe's Approval Rule (Monroe),1058,51,3,446,37,173,144,0,0,204,0
Greedy Monroe,225,0,1,198,0,10,2,0,0,14,0
Minimax Approval Voting (MAV),1598,100,130,528,60,278,218,0,0,284,0
