,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0008,0.0,0.0001,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.347,0.0122,0.0423,0.0779,0.0811,0.0203,0.0418,0.0272,0.0,0.0009,0.0272,0.0161,0.0
Borda ranking,0.0057,0.0,0.0001,0.0024,0.0031,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0948,0.0,0.0185,0.0338,0.0357,0.0,0.0037,0.0,0.0,0.0006,0.0,0.0025,0.0
Approval Voting (AV),0.0138,0.0,0.0,0.005,0.0058,0.0,0.0016,0.0007,0.0,0.0,0.0007,0.0,0.0
Proportional Approval Voting (PAV),0.0138,0.0,0.0,0.005,0.0058,0.0,0.0016,0.0007,0.0,0.0,0.0007,0.0,0.0
Approval Chamberlin-Courant (CC),0.3269,0.0102,0.0407,0.0736,0.0774,0.0182,0.0401,0.0249,0.0,0.0011,0.0249,0.0158,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0138,0.0,0.0,0.005,0.0058,0.0,0.0016,0.0007,0.0,0.0,0.0007,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2783,0.0064,0.0386,0.0713,0.0742,0.0101,0.0309,0.0175,0.0,0.0009,0.0175,0.0109,0.0
Monroe's Approval Rule (Monroe),0.2316,0.0057,0.023,0.0559,0.0597,0.0137,0.0278,0.0202,0.0,0.0,0.0202,0.0054,0.0
Greedy Monroe,0.0499,0.0,0.0014,0.0184,0.0197,0.0008,0.0042,0.0027,0.0,0.0,0.0027,0.0,0.0
Minimax Approval Voting (MAV),0.3199,0.0101,0.0396,0.0725,0.0763,0.0181,0.039,0.0248,0.0,0.0,0.0248,0.0147,0.0
