,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.2381,0.0029,0.011,0.0767,0.0881,0.0061,0.0042,0.0042,0.0,0.0,0.0322,0.0127,0.0
Borda ranking,0.0289,0.0,0.0,0.0128,0.0155,0.0,0.0001,0.0001,0.0,0.0,0.0002,0.0002,0.0
Plurality ranking,0.1291,0.0,0.0035,0.0557,0.0635,0.0016,0.0,0.0,0.0,0.0,0.0003,0.0045,0.0
Approval Voting (AV),0.046,0.0,0.0003,0.0202,0.0247,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0
Proportional Approval Voting (PAV),0.0826,0.0003,0.0004,0.0365,0.0438,0.0,0.0005,0.0005,0.0,0.0,0.0006,0.0,0.0
Approval Chamberlin-Courant (CC),0.1565,0.0032,0.0034,0.0631,0.0728,0.0,0.0043,0.0043,0.0,0.0,0.0046,0.0008,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.1493,0.003,0.0026,0.0609,0.0702,0.0,0.0041,0.0041,0.0,0.0,0.0044,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.142,0.0014,0.0033,0.0602,0.069,0.0,0.002,0.002,0.0,0.0,0.0023,0.0018,0.0
Monroe's Approval Rule (Monroe),0.1165,0.0014,0.0009,0.0486,0.0573,0.0,0.0021,0.0021,0.0,0.0,0.0025,0.0016,0.0
Greedy Monroe,0.1105,0.0002,0.0015,0.0493,0.0572,0.0,0.0005,0.0005,0.0,0.0,0.0006,0.0007,0.0
Minimax Approval Voting (MAV),0.2159,0.0034,0.0102,0.0725,0.0833,0.007,0.0045,0.0045,0.0,0.0,0.0267,0.0038,0.0
