,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,7.727272727272727e-05,2e-06,3.6e-05,0.0,0.000426,4e-06,4e-06,4e-06,0.0,0.0,0.000258,0.00011
Random Choice,0.010566,0.000668,0.003422,0.03821,0.045034,0.002452,0.000978,0.000978,0.0,0.0,0.018778,0.005706
Borda ranking,0.001374,3e-05,0.0,0.00643,0.008134,0.0,6.8e-05,6.8e-05,0.0,0.0,0.000334,5e-05
Plurality ranking,0.006401818181818182,0.0,0.001004,0.030604,0.035754,0.000276,0.0,0.0,0.0,0.0,0.00072,0.002062
Approval Voting (AV),0.0031816363636363635,0.0,7.2e-05,0.015226,0.018496,8e-06,2e-06,2e-06,0.0,0.0,0.001192,0.0
Proportional Approval Voting (PAV),0.004283818181818182,3.6e-05,9.6e-05,0.021146,0.025564,6e-06,7.6e-05,7.6e-05,0.0,0.0,0.000122,0.0
Approval Chamberlin-Courant (CC),0.006734909090909091,0.000462,0.000432,0.032556,0.03805,1e-05,0.000694,0.000694,0.0,0.0,0.000932,0.000254
Lexicographic Chamberlin-Courant (lex-CC),0.006486181818181818,0.00044,0.000356,0.03152,0.036856,1e-05,0.000652,0.000652,0.0,0.0,0.000862,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.006371090909090909,0.000232,0.000496,0.031302,0.036574,6e-06,0.000342,0.000342,0.0,0.0,0.000518,0.00027
Monroe's Approval Rule (Monroe),0.005867454545454545,0.000326,0.000242,0.028356,0.033556,1e-05,0.0005,0.0005,0.0,0.0,0.00078,0.000272
Greedy Monroe,0.005702545454545455,0.000106,0.000338,0.028254,0.033304,6e-06,0.00017,0.00017,0.0,0.0,0.000284,9.6e-05
Minimax Approval Voting (MAV),0.010606545454545454,0.000684,0.003374,0.038126,0.044998,0.002638,0.000996,0.000996,0.0,0.0,0.019254,0.005606
