,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,164,0,0,28,38,8,22,22,0,0,22,22,0
Random Choice,270,0,0,52,73,5,35,35,0,0,35,35,0
Borda ranking,16,0,0,6,10,0,0,0,0,0,0,0,0
Plurality ranking,111,0,0,49,62,0,0,0,0,0,0,0,0
Approval Voting (AV),35,0,0,12,23,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),35,0,0,12,23,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),295,0,0,53,75,7,40,40,0,0,40,40,0
Lexicographic Chamberlin-Courant (lex-CC),35,0,0,12,23,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),329,1,0,56,76,16,45,45,0,0,45,45,0
Monroe's Approval Rule (Monroe),295,0,0,53,75,7,40,40,0,0,40,40,0
Greedy Monroe,66,0,0,27,39,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),295,0,0,53,75,7,40,40,0,0,40,40,0
