,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,167,0,0,35,44,1,1,1,0,0,40,43,0
Random Choice,314,1,0,69,86,4,2,2,0,0,67,83,0
Borda ranking,7,0,0,2,5,0,0,0,0,0,0,0,0
Plurality ranking,26,0,0,10,16,0,0,0,0,0,0,0,0
Approval Voting (AV),17,0,0,7,10,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),17,0,0,7,10,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),125,0,0,57,65,0,1,1,0,0,1,0,0
Lexicographic Chamberlin-Courant (lex-CC),17,0,0,7,10,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),60,0,0,28,32,0,0,0,0,0,0,0,0
Monroe's Approval Rule (Monroe),125,0,0,57,65,0,1,1,0,0,1,0,0
Greedy Monroe,49,0,0,23,26,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),125,0,0,57,65,0,1,1,0,0,1,0,0
