,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0,0,0,0,0,0,0,0,0,0,0,0,0
Random Choice,2404,5,566,566,604,316,10,10,0,0,10,317,0
Borda ranking,135,0,45,45,45,0,0,0,0,0,0,0,0
Plurality ranking,1691,0,352,352,390,294,0,0,0,0,0,303,0
Approval Voting (AV),0,0,0,0,0,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),0,0,0,0,0,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),2571,6,611,611,648,333,8,8,0,0,8,338,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,0,0,0,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),1364,4,443,443,443,4,9,9,0,0,9,0,0
Monroe's Approval Rule (Monroe),111,0,0,0,37,37,0,0,0,0,0,37,0
Greedy Monroe,615,0,204,204,204,0,1,1,0,0,1,0,0
Minimax Approval Voting (MAV),2571,6,611,611,648,333,8,8,0,0,8,338,0
