,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0013,0.0,0.0,0.0,0.0,0.0,0.0005,0.0002,0.0,0.0,0.0005,0.0,0.0
Random Choice,0.3502,0.0027,0.028,0.0794,0.0882,0.0077,0.0363,0.0291,0.0,0.0,0.0417,0.0371,0.0
Borda ranking,0.0296,0.0,0.0,0.0101,0.0118,0.0,0.0035,0.0016,0.0,0.0,0.0022,0.0004,0.0
Plurality ranking,0.145,0.0,0.0109,0.0552,0.0608,0.0008,0.0001,0.0,0.0,0.0,0.0001,0.0171,0.0
Approval Voting (AV),0.042,0.0,0.0001,0.0108,0.0126,0.0,0.0068,0.0039,0.0,0.0,0.0078,0.0,0.0
Proportional Approval Voting (PAV),0.0556,0.0,0.0,0.0181,0.0213,0.0,0.007,0.0042,0.0,0.0,0.005,0.0,0.0
Approval Chamberlin-Courant (CC),0.3452,0.0023,0.0256,0.0783,0.0872,0.0095,0.0358,0.0283,0.0,0.0,0.042,0.0362,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.1898,0.0014,0.005,0.0597,0.0653,0.0,0.023,0.0177,0.0,0.0,0.0177,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2888,0.002,0.0226,0.0737,0.0811,0.0008,0.0315,0.0253,0.0,0.0,0.0335,0.0183,0.0
Monroe's Approval Rule (Monroe),0.2584,0.0014,0.0092,0.0684,0.0763,0.0025,0.0259,0.0207,0.0,0.0,0.0279,0.0261,0.0
Greedy Monroe,0.1143,0.0003,0.0023,0.0361,0.0404,0.0,0.0135,0.0091,0.0,0.0,0.01,0.0026,0.0
Minimax Approval Voting (MAV),0.2269,0.002,0.0101,0.0661,0.0727,0.0021,0.0254,0.0202,0.0,0.0,0.0237,0.0046,0.0
