,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,4.872727272727273e-05,0.0,0.0,0.0,0.000338,3e-05,0.0,0.0,0.0,0.0,0.000166,0.0
Random Choice,0.016579090909090908,0.015146,0.007624,0.040386,0.044272,0.002778,0.016182,0.016014,0.0,0.000584,0.025588,0.013796
Borda ranking,0.00029963636363636363,0.0,0.0,0.00121,0.002086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0013756363636363638,0.0,0.000122,0.005968,0.008104,0.0,0.000246,0.0,0.0,0.000246,0.0,0.000446
Approval Voting (AV),0.0006389090909090909,0.0,0.0,0.002698,0.00433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0007454545454545455,0.0,0.0,0.003218,0.004982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.004228727272727273,0.001766,0.000794,0.01625,0.018346,0.0,0.00206,0.00178,0.0,0.000562,0.001814,0.003144
Lexicographic Chamberlin-Courant (lex-CC),0.0015918181818181817,4.4e-05,0.0,0.007666,0.00963,0.0,5e-05,5e-05,0.0,0.0,7e-05,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0035196363636363637,0.00037,0.000898,0.015406,0.017396,0.0,0.00065,0.000372,0.0,0.000562,0.000388,0.002674
Monroe's Approval Rule (Monroe),0.001214909090909091,8e-06,0.0,0.005614,0.007688,0.0,1.2e-05,1.2e-05,0.0,0.0,3e-05,0.0
Greedy Monroe,0.0012245454545454545,2e-06,0.0,0.005724,0.007726,0.0,4e-06,4e-06,0.0,0.0,1e-05,0.0
Minimax Approval Voting (MAV),0.01069109090909091,0.006314,0.003152,0.03306,0.036944,0.001902,0.00708,0.00708,0.0,0.0,0.01674,0.00533
