,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,174,1,0,37,48,1,1,1,0,0,38,45,0
Random Choice,333,2,0,70,92,1,3,3,0,0,75,87,0
Borda ranking,10,0,0,4,6,0,0,0,0,0,0,0,0
Plurality ranking,46,0,0,19,27,0,0,0,0,0,0,0,0
Approval Voting (AV),31,0,0,14,17,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),31,0,0,14,17,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),126,1,0,55,67,0,1,1,0,0,1,0,0
Lexicographic Chamberlin-Courant (lex-CC),31,0,0,14,17,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),76,0,0,34,42,0,0,0,0,0,0,0,0
Monroe's Approval Rule (Monroe),124,1,0,54,66,0,1,1,0,0,1,0,0
Greedy Monroe,63,0,0,29,34,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),126,1,0,55,67,0,1,1,0,0,1,0,0
