,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0,0,0,0,0,0,0,0,0,0,0,0,0
Random Choice,3959,352,604,604,639,352,352,352,0,0,352,352,0
Borda ranking,0,0,0,0,0,0,0,0,0,0,0,0,0
Plurality ranking,1314,0,438,438,438,0,0,0,0,0,0,0,0
Approval Voting (AV),0,0,0,0,0,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),0,0,0,0,0,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),3725,324,581,581,619,324,324,324,0,0,324,324,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,0,0,0,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),1314,0,438,438,438,0,0,0,0,0,0,0,0
Monroe's Approval Rule (Monroe),266,38,0,0,38,38,38,38,0,0,38,38,0
Greedy Monroe,648,0,216,216,216,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),3725,324,581,581,619,324,324,324,0,0,324,324,0
