,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0,0,0,0,0,0,0,0,0,0,0,0,0
Random Choice,2849,151,442,629,647,336,178,178,0,0,178,110,0
Borda ranking,187,0,46,70,71,0,0,0,0,0,0,0,0
Plurality ranking,1050,0,248,350,357,61,0,0,0,0,0,34,0
Approval Voting (AV),177,6,0,59,60,13,13,13,0,0,13,0,0
Proportional Approval Voting (PAV),177,6,0,59,60,13,13,13,0,0,13,0,0
Approval Chamberlin-Courant (CC),2750,136,438,629,660,308,159,159,0,0,159,102,0
Lexicographic Chamberlin-Courant (lex-CC),177,6,0,59,60,13,13,13,0,0,13,0,0
Sequential Approval Chamberlin-Courant (seq-CC),2044,113,340,494,498,161,146,146,0,0,146,0,0
Monroe's Approval Rule (Monroe),705,34,0,191,222,115,45,45,0,0,45,8,0
Greedy Monroe,506,18,55,155,159,38,27,27,0,0,27,0,0
Minimax Approval Voting (MAV),2750,136,438,629,660,308,159,159,0,0,159,102,0
