,mean_violations,majority,majority_loser,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,unanimity,local_stability,count_viols
Neural Network,24,4,0,0,0,7,4,2,0,7,0
Random Choice,21479,3383,1712,0,341,4716,3383,3,4552,3389,0
Borda ranking,21323,3388,1632,0,311,4679,3388,2,4527,3396,0
Plurality ranking,21636,3434,1706,0,322,4727,3434,2,4572,3439,0
Approval Voting (AV),9,0,0,0,0,3,0,3,0,3,0
Proportional Approval Voting (PAV),45,8,2,0,0,12,8,3,0,12,0
Approval Chamberlin-Courant (CC),17555,2373,1208,0,0,4664,2373,2,4559,2376,0
Lexicographic Chamberlin-Courant (lex-CC),248,55,17,0,0,59,55,3,0,59,0
Sequential Approval Chamberlin-Courant (seq-CC),17653,2390,1199,0,0,4688,2390,3,4589,2394,0
Monroe's Approval Rule (Monroe),60,12,4,0,0,15,12,2,0,15,0
Greedy Monroe,100,20,9,0,0,24,20,3,0,24,0
Minimax Approval Voting (MAV),469,103,48,0,0,106,103,2,0,107,0
