,majority,majority_loser,condorcet_winner,condorcet_loser,count_viols
Neural Network,0,0,0,1,0
Random Choice,0,0,31,211,0
Borda ranking,0,0,0,0,0
Plurality ranking,0,0,13,0,0
Approval Voting (AV),0,0,0,0,0
Proportional Approval Voting (PAV),0,0,0,0,0
Approval Chamberlin-Courant (CC),0,0,17,221,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,1,0,0
Sequential Approval Chamberlin-Courant (seq-CC),0,0,29,28,0
Monroe's Approval Rule (Monroe),0,0,12,107,0
Greedy Monroe,0,0,3,2,0
Minimax Approval Voting (MAV),0,0,11,137,0
