,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0018,0.0,0.0,0.0,0.0,0.0,0.0007,0.0004,0.0,0.0,0.0007,0.0,0.0
Random Choice,0.3328,0.0023,0.0245,0.0763,0.0877,0.0092,0.0309,0.0255,0.0,0.0,0.0384,0.038,0.0
Borda ranking,0.038,0.0,0.0001,0.0118,0.0139,0.0,0.0054,0.0027,0.0,0.0,0.004,0.0001,0.0
Plurality ranking,0.1575,0.0,0.0116,0.0576,0.066,0.0015,0.0,0.0,0.0,0.0,0.0003,0.0205,0.0
Approval Voting (AV),0.0533,0.0,0.0002,0.0133,0.0165,0.0,0.0091,0.0051,0.0,0.0,0.0091,0.0,0.0
Proportional Approval Voting (PAV),0.0739,0.0,0.0001,0.023,0.0276,0.0,0.01,0.0058,0.0,0.0,0.0074,0.0,0.0
Approval Chamberlin-Courant (CC),0.3363,0.002,0.0227,0.0767,0.0881,0.0086,0.0324,0.0261,0.0,0.0,0.0401,0.0396,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.184,0.0013,0.0046,0.0577,0.0646,0.0,0.0228,0.0165,0.0,0.0,0.0165,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2814,0.0025,0.0183,0.0714,0.0814,0.0009,0.0311,0.0259,0.0,0.0,0.0331,0.0168,0.0
Monroe's Approval Rule (Monroe),0.2667,0.0015,0.0105,0.0682,0.0789,0.0027,0.0255,0.0199,0.0,0.0,0.0286,0.0309,0.0
Greedy Monroe,0.1399,0.0002,0.0032,0.0428,0.0491,0.0,0.0163,0.0113,0.0,0.0,0.0134,0.0036,0.0
Minimax Approval Voting (MAV),0.2254,0.0017,0.0091,0.0641,0.0735,0.0022,0.026,0.0195,0.0,0.0,0.0237,0.0056,0.0
