,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,152,0,0,26,38,6,20,20,0,0,20,20,0
Random Choice,339,0,0,53,80,14,48,48,0,0,48,48,0
Borda ranking,10,0,0,3,7,0,0,0,0,0,0,0,0
Plurality ranking,106,0,0,44,62,0,0,0,0,0,0,0,0
Approval Voting (AV),28,0,0,9,19,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),28,0,0,9,19,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),305,0,0,52,77,12,41,41,0,0,41,41,0
Lexicographic Chamberlin-Courant (lex-CC),28,0,0,9,19,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),306,0,0,52,75,7,43,43,0,0,43,43,0
Monroe's Approval Rule (Monroe),305,0,0,52,77,12,41,41,0,0,41,41,0
Greedy Monroe,76,0,0,32,44,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),305,0,0,52,77,12,41,41,0,0,41,41,0
