,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,185,18,11,26,31,1,19,19,0,1,34,22,0
Random Choice,344,32,10,57,66,4,35,35,1,2,61,41,0
Borda ranking,25,1,0,4,7,0,3,3,1,0,3,3,0
Plurality ranking,130,0,6,47,55,0,1,0,0,1,0,20,0
Approval Voting (AV),20,0,0,4,9,0,1,1,1,0,4,0,0
Proportional Approval Voting (PAV),49,2,1,14,20,0,3,3,1,0,5,0,0
Approval Chamberlin-Courant (CC),239,26,5,53,59,0,27,27,1,2,28,11,0
Lexicographic Chamberlin-Courant (lex-CC),162,16,5,41,47,0,17,17,1,0,18,0,0
Sequential Approval Chamberlin-Courant (seq-CC),208,17,4,52,58,0,21,19,1,2,20,14,0
Monroe's Approval Rule (Monroe),107,10,4,24,31,0,11,11,1,0,12,3,0
Greedy Monroe,77,4,1,24,31,0,5,5,1,0,6,0,0
Minimax Approval Voting (MAV),286,26,13,50,60,0,28,28,1,0,55,25,0
