,total_violations,majority,majority_loser,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,unanimity,local_stability,count_viols
Neural Network,459,0,0,0,0,38,12,0,0,409,0
Random Choice,3268,0,0,0,18,556,241,0,0,2453,0
Borda ranking,3192,0,0,0,13,573,252,0,0,2354,0
Plurality ranking,3190,0,0,0,10,544,249,0,0,2387,0
Approval Voting (AV),1316,0,0,0,0,186,65,0,0,1065,0
Proportional Approval Voting (PAV),1217,0,0,0,0,183,61,0,0,973,0
Approval Chamberlin-Courant (CC),3231,0,0,0,20,541,248,0,0,2422,0
Lexicographic Chamberlin-Courant (lex-CC),1569,0,0,0,0,274,101,0,0,1194,0
Sequential Approval Chamberlin-Courant (seq-CC),2253,0,0,0,0,343,126,0,0,1784,0
Monroe's Approval Rule (Monroe),3231,0,0,0,20,541,248,0,0,2422,0
Greedy Monroe,1809,0,0,0,0,274,117,0,0,1418,0
Minimax Approval Voting (MAV),2936,0,0,0,17,493,224,0,0,2202,0
