,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0,0,0,0,0,0,0,0,0,0,0,0,0
Random Choice,3194,229,472,615,642,297,266,246,2,48,246,131,0
Borda ranking,139,0,29,52,58,0,0,0,0,0,0,0,0
Plurality ranking,1253,0,328,381,395,12,34,0,0,34,0,69,0
Approval Voting (AV),206,10,0,58,66,19,17,17,2,0,17,0,0
Proportional Approval Voting (PAV),206,10,0,58,66,19,17,17,2,0,17,0,0
Approval Chamberlin-Courant (CC),3297,240,480,636,656,315,280,258,1,48,258,125,0
Lexicographic Chamberlin-Courant (lex-CC),206,10,0,58,66,19,17,17,2,0,17,0,0
Sequential Approval Chamberlin-Courant (seq-CC),2347,160,367,472,483,186,208,175,3,59,175,59,0
Monroe's Approval Rule (Monroe),547,29,0,156,176,72,38,38,0,0,38,0,0
Greedy Monroe,419,24,21,113,123,40,32,32,2,0,32,0,0
Minimax Approval Voting (MAV),2905,214,432,588,608,289,232,232,1,0,232,77,0
