,mean_violations,majority,majority_loser,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,unanimity,local_stability,count_viols
Neural Network,9,0,0,0,0,0,0,0,0,9,0
Random Choice,3111,25,256,0,246,28,25,0,0,2531,0
Borda ranking,3026,22,238,0,235,28,22,0,0,2481,0
Plurality ranking,3075,23,236,0,226,28,23,0,0,2539,0
Approval Voting (AV),266,0,6,0,1,0,0,0,0,259,0
Proportional Approval Voting (PAV),13,0,6,0,1,0,0,0,0,6,0
Approval Chamberlin-Courant (CC),78,10,24,0,1,13,10,0,0,20,0
Lexicographic Chamberlin-Courant (lex-CC),70,9,20,0,1,12,9,0,0,19,0
Sequential Approval Chamberlin-Courant (seq-CC),50,4,26,0,1,5,4,0,0,10,0
Monroe's Approval Rule (Monroe),75,7,18,0,1,11,7,0,0,31,0
Greedy Monroe,38,2,22,0,1,3,2,0,0,8,0
Minimax Approval Voting (MAV),3043,22,251,0,243,29,22,0,0,2476,0
