,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,5.2e-05,0.0,0.0,0.0,4e-06,0.0,1.2e-05,1.2e-05,0.0,0.0,1.2e-05,1.2e-05,0.0
Random Choice,0.314156,0.000208,2e-05,0.055252,0.076424,0.010892,0.042952,0.042728,0.0,0.0,0.042728,0.042952,0.0
Borda ranking,0.013288,0.0,0.0,0.0045,0.008788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.11362,0.0,1.2e-05,0.04826,0.065348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.044092,0.0,0.0,0.017604,0.026488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.044092,0.0,0.0,0.017604,0.026488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.312388,0.00016,1.6e-05,0.055088,0.076288,0.01094,0.042568,0.04238,0.0,0.0,0.04238,0.042568,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.044092,0.0,0.0,0.017604,0.026488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.31178,0.000264,1.6e-05,0.054992,0.076252,0.010672,0.042468,0.042324,0.0,0.0,0.042324,0.042468,0.0
Monroe's Approval Rule (Monroe),0.312388,0.00016,1.6e-05,0.055088,0.076288,0.01094,0.042568,0.04238,0.0,0.0,0.04238,0.042568,0.0
Greedy Monroe,0.088944,0.0,8e-06,0.03758,0.051356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.312388,0.00016,1.6e-05,0.055088,0.076288,0.01094,0.042568,0.04238,0.0,0.0,0.04238,0.042568,0.0
