,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0027,0.0,0.0,0.0,0.0001,0.0,0.0009,0.0007,0.0,0.0,0.0009,0.0001,0.0
Random Choice,0.3871,0.023,0.0363,0.0675,0.0766,0.0071,0.0528,0.0404,0.0,0.0034,0.0459,0.0341,0.0
Borda ranking,0.036,0.0,0.0007,0.0096,0.0129,0.0,0.004,0.003,0.0,0.0,0.0039,0.0019,0.0
Plurality ranking,0.1933,0.0,0.0271,0.0586,0.0648,0.0,0.0155,0.0,0.0,0.0036,0.0,0.0237,0.0
Approval Voting (AV),0.0521,0.0002,0.0001,0.0055,0.0095,0.0,0.0128,0.0103,0.0,0.0,0.0137,0.0,0.0
Proportional Approval Voting (PAV),0.0619,0.0011,0.0002,0.0093,0.0141,0.0,0.0131,0.0108,0.0,0.0,0.0133,0.0,0.0
Approval Chamberlin-Courant (CC),0.3793,0.022,0.0365,0.067,0.0756,0.007,0.0509,0.0379,0.0,0.0037,0.0443,0.0344,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.2,0.0101,0.017,0.0464,0.0529,0.0,0.0286,0.0219,0.0,0.0,0.0231,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.333,0.0186,0.0281,0.0638,0.0713,0.0037,0.0474,0.0348,0.0,0.0038,0.038,0.0235,0.0
Monroe's Approval Rule (Monroe),0.1738,0.0073,0.0101,0.0348,0.0428,0.0013,0.0234,0.0195,0.0,0.0,0.0248,0.0098,0.0
Greedy Monroe,0.1046,0.0032,0.0055,0.0213,0.0269,0.0,0.0164,0.0138,0.0,0.0,0.016,0.0015,0.0
Minimax Approval Voting (MAV),0.3012,0.0165,0.0262,0.0608,0.069,0.0032,0.0421,0.0319,0.0,0.0,0.0372,0.0143,0.0
