,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0019,0.0,0.0,0.0,0.0,0.0,0.0006,0.0004,0.0,0.0,0.0007,0.0,0.0
Random Choice,0.3345,0.0023,0.0227,0.076,0.0874,0.0087,0.0317,0.027,0.0,0.0,0.0411,0.0376,0.0
Borda ranking,0.039,0.0,0.0,0.0131,0.0154,0.0,0.0041,0.0026,0.0,0.0,0.0038,0.0,0.0
Plurality ranking,0.1585,0.0,0.0112,0.058,0.067,0.0019,0.0,0.0,0.0,0.0,0.0003,0.0201,0.0
Approval Voting (AV),0.0606,0.0001,0.0001,0.0145,0.0184,0.0,0.0093,0.0068,0.0,0.0,0.0114,0.0,0.0
Proportional Approval Voting (PAV),0.0743,0.0001,0.0001,0.0219,0.0278,0.0,0.0095,0.0067,0.0,0.0,0.0082,0.0,0.0
Approval Chamberlin-Courant (CC),0.3406,0.0023,0.0217,0.0771,0.0893,0.0101,0.0337,0.0274,0.0,0.0,0.042,0.037,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.1804,0.0016,0.0042,0.0548,0.0626,0.0,0.0218,0.0177,0.0,0.0,0.0177,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2815,0.0027,0.0205,0.0707,0.0815,0.0015,0.0288,0.0233,0.0,0.0,0.0318,0.0207,0.0
Monroe's Approval Rule (Monroe),0.2736,0.002,0.0098,0.07,0.0811,0.0032,0.027,0.0216,0.0,0.0,0.03,0.0289,0.0
Greedy Monroe,0.1309,0.0002,0.0021,0.0407,0.0467,0.0,0.0145,0.0109,0.0,0.0,0.0129,0.0029,0.0
Minimax Approval Voting (MAV),0.2223,0.0015,0.0082,0.0634,0.0728,0.0028,0.0244,0.02,0.0,0.0,0.024,0.0052,0.0
