,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,161,0,0,34,46,1,0,0,0,0,37,42,0
Random Choice,318,0,0,68,91,5,0,0,0,0,67,87,0
Borda ranking,11,0,0,3,8,0,0,0,0,0,0,0,0
Plurality ranking,42,0,0,17,25,0,0,0,0,0,0,0,0
Approval Voting (AV),25,0,0,10,15,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),25,0,0,10,15,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),116,0,0,51,65,0,0,0,0,0,0,0,0
Lexicographic Chamberlin-Courant (lex-CC),25,0,0,10,15,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),87,0,0,41,46,0,0,0,0,0,0,0,0
Monroe's Approval Rule (Monroe),114,0,0,50,64,0,0,0,0,0,0,0,0
Greedy Monroe,56,0,0,26,30,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),116,0,0,51,65,0,0,0,0,0,0,0,0
