,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.179,0.0044,0.0062,0.0716,0.0781,0.0174,0.0,0.0,0.0,0.0,0.0003,0.001,0.0
Borda ranking,0.0239,0.0014,0.0,0.0105,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0854,0.0,0.0011,0.0394,0.0424,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0882,0.0,0.0011,0.0409,0.044,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0882,0.0,0.0011,0.0409,0.044,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0882,0.0,0.0011,0.0409,0.044,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0882,0.0,0.0011,0.0409,0.044,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0854,0.0,0.0011,0.0394,0.0424,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0882,0.0,0.0011,0.0409,0.044,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0854,0.0,0.0011,0.0394,0.0424,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.1817,0.0044,0.0064,0.0724,0.0788,0.0182,0.0,0.0,0.0,0.0,0.0002,0.0013,0.0
