,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,227,0,0,27,41,1,39,39,0,0,39,39,0
Random Choice,449,0,0,56,83,2,78,76,0,0,76,78,0
Borda ranking,14,0,0,4,10,0,0,0,0,0,0,0,0
Plurality ranking,118,0,0,50,68,0,0,0,0,0,0,0,0
Approval Voting (AV),39,0,0,16,23,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),36,0,0,15,21,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),390,0,0,56,83,3,63,61,0,0,61,63,0
Lexicographic Chamberlin-Courant (lex-CC),69,0,0,28,41,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),444,1,0,56,83,4,75,75,0,0,75,75,0
Monroe's Approval Rule (Monroe),390,0,0,56,83,3,63,61,0,0,61,63,0
Greedy Monroe,102,0,0,42,60,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),390,0,0,56,83,3,63,61,0,0,61,63,0
